item	gloss	group	site_codes	status	form	visible_base	note
19	sand	1	m	attested	hanʔtʃɛŋ		
19	sand	1	cl	attested	hatʃɛŋ		
19	sand	2	cl	attested	hatʃɛŋ		Exact repeated source response printed again under similarity group 2; preserve the repeated group in the conceptual-cell audit.
19	sand	2	q	attested	haʃɛŋ		
19	sand	2	br	attested	hasɛŋ		
19	sand	3	0	attested	bali		
20	gold	1	0bclmqr	attested	ʃona		
21	silver	1	0bclmqr	attested	rupa		
22	today	1	bcr	attested	tai̯ni		
22	today	1	m	attested	tani		
22	today	1	q	attested	tini		
22	today	2	l	attested	taan		
22	today	3	0	attested	adʒ		
23	yesterday	0	l	blank			Printed `no entry`.
23	yesterday	1	m	attested	mɨja		
23	yesterday	1	bcr	attested	mui̯ja		
23	yesterday	2	0	attested	gɔtokal / kalke		
23	yesterday	3	q	attested	ganɛkai̯		
