Snapshot_Date,Collation_Date,Unit_ID,Region,Section,Printed_Page,Raw_Form,Raw_Gloss,Raw_Context,Status,Reason,Final_Forms,Final_Gloss,Final_Tags,Etymology,Etymon_Candidates,Parameter_ID,Emitted_Keys,Review,Material_Error,Source,Record_SHA256
2026-08-25,2026-08-25,abstract:q1,prose,Front matter,1,,the Middle-Eastern Gypsies,"on an under-described variety of Domari, a very scarcely documented Indo-Aryan language spoken by the Dōm , who are often referred to as “the Middle-Eastern Gypsies”. Described as an archaic Indo-Aryan lan",skipped,"quoted English prose or a title, not a glossed Domari citation",,,,,,,,,,"herin2012domari[p. 1, abstract]",a4b4be4c7b6d8bac49b466ff8e13087986cb19d2b2c5d544d55cbf3a1999a729
2026-08-25,2026-08-25,introduction:q1,prose,Introduction,1,,Gypsies,"Domari is an Indic language spoken by the Dōm , commonly described as the “Gypsies” of the Middle-East. The Dōm are origi",skipped,"quoted English prose or a title, not a glossed Domari citation",,,,,,,,,,"herin2012domari[p. 1, introduction]",0cdb61184aab31d3cd338d6500b1c943d23b719536421936fec60b8137da5ac5
2026-08-25,2026-08-25,introduction:q2,prose,Introduction,2,,"In Sayyida Zaineb, the largest Dōm settlement, their number lies between 4000 and 10000","as (Matras 1999:4), the Jerusalem community does not exceed 600-700. Other figures are given by Meyer for Damascus about which he says that “In Sayyida Zaineb, the largest Dōm settlement, their number lies between 4000 and 10000” (Meyer 2004:76). The other Dōm popula",skipped,"quoted English prose or a title, not a glossed Domari citation",,,,,,,,,,"herin2012domari[p. 2, introduction]",685576af04cbd8039380b745a21acf5b39e69de93113d531d6bad16df0413577
2026-08-25,2026-08-25,introduction:q3,prose,Introduction,2,ḥaǧǧiyyāt,female dancer,"ipatetic peoples. In Aleppo, the main (claimed) occupations are sieve-making, rudimentary dendistery and dancing (the so-called ḥaǧǧiyyāt “female dancer” performing in the maqāṣif , plural of",ingested,,ḥaǧǧiyyāt,female dancer,dialect:as:aleppo:Aleppo,,,,herin2012domari:introduction:q3,,,"herin2012domari[p. 2, introduction]",f0b1f4441ae702df79e73a6cf7c817cd25730871d32de467f80616d9a90a195d
2026-08-25,2026-08-25,introduction:q4,prose,Introduction,2,maqṣaf,cabaret,"ieve-making, rudimentary dendistery and dancing (the so-called ḥaǧǧiyyāt “female dancer” performing in the maqāṣif , plural of maqṣaf “cabaret”). In Syria, other occupations generally",ingested,,maqṣaf,cabaret,dialect:as:aleppo:Aleppo,,,,herin2012domari:introduction:q4,,,"herin2012domari[p. 2, introduction]",2c7bbc7fc3cb5e4b2295b6f1cba5d2d1ece92b7d66a8fd66f20fb98cc29f19ce
2026-08-25,2026-08-25,introduction:q5,prose,Introduction,2,,Dōm of Damascus,"fe. Some of the names recorded are nāṣəḷḷārīn , barǧōlyīn , qādəḷḷārīn , malḥamīn , zētqayyīn and also qurbāṭ iš-šām (literally “ Dōm of Damascus”). The zētqayyīn are also called by th",skipped,"quoted English prose or a title, not a glossed Domari citation",,,,,,,,,,"herin2012domari[p. 2, introduction]",8bf94610a68f945bc19d79a856fb21ca27ccb351184be6a983c4ab705738ddaa
2026-08-25,2026-08-25,introduction:q6,prose,Introduction,2,akkālīn zēt,oil eaters,zētqayyīn and also qurbāṭ iš-šām (literally “ Dōm of Damascus”). The zētqayyīn are also called by the Arabic name akkālīn zēt “oil eaters”. The nāṣəḷḷārīn and qādəḷḷārīn are,skipped,"cited in its own language as a donor, etymon or structural model, not as Domari: the Arabic nickname akkālīn zēt for one Dōm group",,,,,,,,,,"herin2012domari[p. 2, introduction]",26858a89af67f99233dc21f73ed94e7ab3dcb25f857c0d16e1fedf30b7a52ccf
2026-08-25,2026-08-25,introduction:q7,prose,Introduction,3,ǧib,language,"do not call their language domari , but dōmʋārī́ (expectedly stressed on the last syllable), which may occur in collocation with ǧib “language”: dōmʋārī ǧib “Domari language”. An at",ingested,,ǧib,language,dialect:as:aleppo:Aleppo,,,,herin2012domari:introduction:q7,,,"herin2012domari[p. 3, introduction]",93e1fb2a3a05b9878db2d6f5e0d94b5e2035d9a72ca645d0e1576aa65a7c712c
2026-08-25,2026-08-25,introduction:q8,prose,Introduction,3,dōmʋārī ǧib,Domari language,"e domari , but dōmʋārī́ (expectedly stressed on the last syllable), which may occur in collocation with ǧib “language”: dōmʋārī ǧib “Domari language”. An attractive etymology for dōmʋārī",ingested,,dōmʋārī ǧib,Domari language,multiword-expression dialect:as:aleppo:Aleppo,,,,herin2012domari:introduction:q8,,,"herin2012domari[p. 3, introduction]",a4d247f425b3c04e77c77e8fa5c6fc3ac242a1a5e956fa053fe93ba8f994af6b
2026-08-25,2026-08-25,introduction:q9,prose,Introduction,3,,"speech, language","ǧib “language”: dōmʋārī ǧib “Domari language”. An attractive etymology for dōmʋārī is the suffixation of the Old Indo-Aryan root *vari “speech, language” to the ethnonym Dōm . Dōmʋārī would",skipped,"quoted English prose or a title, not a glossed Domari citation",,,,,,,,,,"herin2012domari[p. 3, introduction]",6d503a8580142341bbf5dc99b82096a1beff6160ca34f88f548908748cbb859e
2026-08-25,2026-08-25,introduction:q10,prose,Introduction,3,,speech of the Dōm,"ōmʋārī is the suffixation of the Old Indo-Aryan root *vari “speech, language” to the ethnonym Dōm . Dōmʋārī would thus originally mean “speech of the Dōm ”. However, this morpheme does not seem t",skipped,"quoted English prose or a title, not a glossed Domari citation",,,,,,,,,,"herin2012domari[p. 3, introduction]",53c6a5fadf501cec584a3875cf927175b8e33f0b32eda51812dafc8af56e2987
