Source_Key,Prompt_Key,Item,Gloss,List,Role,PDF_Page,Printed_Page,Similarity_Group,Source_Cell,Manual_Form,Record_Type,Review_Method,Review_Status,Confidence,Status,Reason,Installed_Count,Expanded_Forms,Entry_Keys,Language_ID,Dialect_ID,Citation,Review_Note
blair-george2012kondadora,001,1,body,Koraput,target,89,84,1,1oɽol,oɽol,response,manual cell-by-cell visual transcription from rendered canonical scan; OCR/text layer used only as a locating scaffold,manually_verified,high,installed,,1,oɽol,silkondadora2012:001:K:1,Konda,sil-konda-dora-1987-koraput,"blair-george2012kondadora[Appendix 9.5, PDF p. 89, printed p. 84, item 1 (body), list K]",enlarged crop confirms source IPA retroflex-flap glyph
blair-george2012kondadora,001,1,body,Visakh,target,89,84,1,1oɽol,oɽol,response,manual cell-by-cell visual transcription from rendered canonical scan; OCR/text layer used only as a locating scaffold,manually_verified,high,installed,,1,oɽol,silkondadora2012:001:V:1,Konda,sil-konda-dora-1987-visakh,"blair-george2012kondadora[Appendix 9.5, PDF p. 89, printed p. 84, item 1 (body), list V]",enlarged crop confirms source IPA retroflex-flap glyph
blair-george2012kondadora,001,1,body,Telugu,comparison control,98,93,2,2sari:ram,sari:ram,response,manual cell-by-cell visual transcription from rendered canonical scan; OCR/text layer used only as a locating scaffold,manually_verified,high,excluded,Telugu comparison control,0,,,,,"blair-george2012kondadora[Appendix 9.5, PDF p. 98, printed p. 93, item 1 (body), list T]",enlarged crop confirms source IPA retroflex-flap glyph
blair-george2012kondadora,001,1,body,Adivasi_Oriya,comparison control,98,93,,gagoɽ,gagoɽ,response,manual cell-by-cell visual transcription from rendered canonical scan; OCR/text layer used only as a locating scaffold,manually_verified,high,excluded,Adivasi Oriya (Kotia Oriya) comparison control,0,,,,,"blair-george2012kondadora[Appendix 9.5, PDF p. 98, printed p. 93, item 1 (body), list O]",enlarged crop confirms source IPA retroflex-flap glyph
blair-george2012kondadora,002,2,head,Koraput,target,89,84,1,1ṭala,ṭala,response,manual cell-by-cell visual transcription from rendered canonical scan; OCR/text layer used only as a locating scaffold,manually_verified,high,installed,,1,ṭala,silkondadora2012:002:K:1,Konda,sil-konda-dora-1987-koraput,"blair-george2012kondadora[Appendix 9.5, PDF p. 89, printed p. 84, item 2 (head), list K]",
blair-george2012kondadora,002,2,head,Visakh,target,89,84,1,1ṭala,ṭala,response,manual cell-by-cell visual transcription from rendered canonical scan; OCR/text layer used only as a locating scaffold,manually_verified,high,installed,,1,ṭala,silkondadora2012:002:V:1,Konda,sil-konda-dora-1987-visakh,"blair-george2012kondadora[Appendix 9.5, PDF p. 89, printed p. 84, item 2 (head), list V]",
blair-george2012kondadora,002,2,head,Telugu,comparison control,98,93,1,1ṭala,ṭala,response,manual cell-by-cell visual transcription from rendered canonical scan; OCR/text layer used only as a locating scaffold,manually_verified,high,excluded,Telugu comparison control,0,,,,,"blair-george2012kondadora[Appendix 9.5, PDF p. 98, printed p. 93, item 2 (head), list T]",
blair-george2012kondadora,002,2,head,Adivasi_Oriya,comparison control,98,93,,mu:ṇḍ,mu:ṇḍ,response,manual cell-by-cell visual transcription from rendered canonical scan; OCR/text layer used only as a locating scaffold,manually_verified,high,excluded,Adivasi Oriya (Kotia Oriya) comparison control,0,,,,,"blair-george2012kondadora[Appendix 9.5, PDF p. 98, printed p. 93, item 2 (head), list O]",
blair-george2012kondadora,003,3,hair,Koraput,target,89,84,1,1kukti,kukti,response,manual cell-by-cell visual transcription from rendered canonical scan; OCR/text layer used only as a locating scaffold,manually_verified,high,installed,,1,kukti,silkondadora2012:003:K:1,Konda,sil-konda-dora-1987-koraput,"blair-george2012kondadora[Appendix 9.5, PDF p. 89, printed p. 84, item 3 (hair), list K]",
blair-george2012kondadora,003,3,hair,Visakh,target,89,84,2,2kopu,kopu,response,manual cell-by-cell visual transcription from rendered canonical scan; OCR/text layer used only as a locating scaffold,manually_verified,high,installed,,1,kopu,silkondadora2012:003:V:1,Konda,sil-konda-dora-1987-visakh,"blair-george2012kondadora[Appendix 9.5, PDF p. 89, printed p. 84, item 3 (hair), list V]",
blair-george2012kondadora,003,3,hair,Telugu,comparison control,98,93,3,3dzuṭu,dzuṭu,response,manual cell-by-cell visual transcription from rendered canonical scan; OCR/text layer used only as a locating scaffold,manually_verified,high,excluded,Telugu comparison control,0,,,,,"blair-george2012kondadora[Appendix 9.5, PDF p. 98, printed p. 93, item 3 (hair), list T]",
blair-george2012kondadora,003,3,hair,Adivasi_Oriya,comparison control,98,93,,seṇḍi,seṇḍi,response,manual cell-by-cell visual transcription from rendered canonical scan; OCR/text layer used only as a locating scaffold,manually_verified,high,excluded,Adivasi Oriya (Kotia Oriya) comparison control,0,,,,,"blair-george2012kondadora[Appendix 9.5, PDF p. 98, printed p. 93, item 3 (hair), list O]",
blair-george2012kondadora,004,4,face,Koraput,target,89,84,1,1mokom,mokom,response,manual cell-by-cell visual transcription from rendered canonical scan; OCR/text layer used only as a locating scaffold,manually_verified,high,installed,,1,mokom,silkondadora2012:004:K:1,Konda,sil-konda-dora-1987-koraput,"blair-george2012kondadora[Appendix 9.5, PDF p. 89, printed p. 84, item 4 (face), list K]",
blair-george2012kondadora,004,4,face,Visakh,target,89,84,,----,,blank,manual cell-by-cell visual transcription from rendered canonical scan; OCR/text layer used only as a locating scaffold,manually_verified,high,excluded,source prints ‘----’ (no response),0,,,Konda,sil-konda-dora-1987-visakh,"blair-george2012kondadora[Appendix 9.5, PDF p. 89, printed p. 84, item 4 (face), list V]",
