Item	Site_Code	Similarity_Group	Response_Order	Manual_Transcription	Manual_Status	Legacy_Raw_Form	Legacy_Status	Legacy_Reason	Exact_Codepoint_Equal	Reconciliation_Disposition	Frozen_Manual_Cells_SHA256	Independence_Note
1	0	5	1	akaʃ	attested	akaʃ	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
1	a	1	1	sɨlɡa	attested	sɨlɡa	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
1	b	2	1	saɡu	attested	saɡu	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
1	c	2	1	ʃaɡu	attested	ʃaɡu	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
1	d	2	1	ʃoɡa	attested	ʃoɡa	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
1	e	2	1	ʃoɡa	attested	ʃoɡa	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
1	f	2	1	ʃoɡa	attested	ʃoɡa	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
1	g	2	1	ʃoɡa	attested	ʃoɡa	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
1	h	2	1	ʃoɡa	attested	ʃoɡa	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
1	i	1	1	sɨlɡa	attested	sɨlɡa	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
1	j	3	1	bri	attested	bɾi	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
1	k	3	1	bri	attested	bɾi	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
1	l	4	1	raŋra	attested	raŋɾa	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
1	m	4	1	raŋra	attested	raŋɾa	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
1	n	2	1	ʃoɡa	attested	ʃoɡa	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
1	o	1	1	sɨlɡa	attested	sɨlɡa	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
1	p	6	1	bniŋ	attested	bnɨŋ	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
2	0	4	1	ʃuudʒo	attested	ʃuɹdʒo	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
2	a	1	1	ʃal	attested	ʃal	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
2	b	2	1	rasan	attested	rasan	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
2	c	2	1	rasan	attested	rasan	installed		yes	legacy exact comparison match (audit-only; not verification)	18cb09f9aeda5d2dfdf47f98f59102e9c31a296500846ee658a59885c07f25c9	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
