Cell_Key	Manual_Form	Cell_Status	Confidence	Review_Method	Reviewer	Notes
S051_RDG	ɾɑm	attested	high	manual visual transcription from 1200-dpi rendered source image; OCR/PDF text used only to locate table cells and never to supply or verify readings	OpenAI Codex	physical PDF p.25; printed p.21; source-order item S051 path; list A. Rabha / Rongdani; right table; initial tap visibly confirmed
S051_MTR	ɾɑm	attested	high	manual visual transcription from 1200-dpi rendered source image; OCR/PDF text used only to locate table cells and never to supply or verify readings	OpenAI Codex	physical PDF p.25; printed p.21; source-order item S051 path; list B. Rabha / Maituri; right table; initial tap visibly confirmed
S052_RDG	hɑ́ŋtʃ̑eŋ	attested	high	manual visual transcription from 1200-dpi rendered source image; OCR/PDF text used only to locate table cells and never to supply or verify readings	OpenAI Codex	physical PDF p.25; printed p.21; source-order item S052 sand; list A. Rabha / Rongdani; right table; acute accent, both engma glyphs, and source's small inverted breve on ʃ visibly confirmed
S052_MTR	hɑntʃ̑eŋ	attested	high	manual visual transcription from 1200-dpi rendered source image; OCR/PDF text used only to locate table cells and never to supply or verify readings	OpenAI Codex	physical PDF p.25; printed p.21; source-order item S052 sand; list B. Rabha / Maituri; right table; medial n, source's small inverted breve on ʃ, and final engma visibly confirmed
S053_RDG	bɑɾ	attested	high	manual visual transcription from 1200-dpi rendered source image; OCR/PDF text used only to locate table cells and never to supply or verify readings	OpenAI Codex	physical PDF p.25; printed p.21; source-order item S053 fire; list A. Rabha / Rongdani; right table; final tap visibly confirmed
S053_MTR	bɑɾ	attested	high	manual visual transcription from 1200-dpi rendered source image; OCR/PDF text used only to locate table cells and never to supply or verify readings	OpenAI Codex	physical PDF p.25; printed p.21; source-order item S053 fire; list B. Rabha / Maituri; right table; final tap visibly confirmed
S054_RDG	dʰumɑ	attested	high	manual visual transcription from 1200-dpi rendered source image; OCR/PDF text used only to locate table cells and never to supply or verify readings	OpenAI Codex	physical PDF p.25; printed p.21; source-order item S054 smoke; list A. Rabha / Rongdani; right table; aspiration visibly confirmed
S054_MTR	bɑɾkʰu	attested	high	manual visual transcription from 1200-dpi rendered source image; OCR/PDF text used only to locate table cells and never to supply or verify readings	OpenAI Codex	physical PDF p.25; printed p.21; source-order item S054 smoke; list B. Rabha / Maituri; right table; medial tap and aspiration visibly confirmed
S055_RDG	pʰúŋd͡ʒi	attested	high	manual visual transcription from 1200-dpi rendered source image; OCR/PDF text used only to locate table cells and never to supply or verify readings	OpenAI Codex	physical PDF p.26; printed p.22; source-order item S055 ash; list A. Rabha / Rongdani; left table; aspiration, acute accent, engma, and tied d͡ʒ visibly confirmed
S055_MTR	pʰuŋd͡ʒi	attested	high	manual visual transcription from 1200-dpi rendered source image; OCR/PDF text used only to locate table cells and never to supply or verify readings	OpenAI Codex	physical PDF p.26; printed p.22; source-order item S055 ash; list B. Rabha / Maituri; left table; aspiration, engma, and tied d͡ʒ visibly confirmed; no accent printed
S056_RDG	həptʃ̑i	attested	high	manual visual transcription from 1200-dpi rendered source image; OCR/PDF text used only to locate table cells and never to supply or verify readings	OpenAI Codex	physical PDF p.26; printed p.22; source-order item S056 mud; list A. Rabha / Rongdani; left table; schwa and source's small inverted breve on ʃ visibly confirmed
S056_MTR	ketʃ̑ɾɑ	attested	high	manual visual transcription from 1200-dpi rendered source image; OCR/PDF text used only to locate table cells and never to supply or verify readings	OpenAI Codex	physical PDF p.26; printed p.22; source-order item S056 mud; list B. Rabha / Maituri; left table; source's small inverted breve on ʃ and following tap visibly confirmed
S057_RDG	hɑdəbuɾ	attested	high	manual visual transcription from 1200-dpi rendered source image; OCR/PDF text used only to locate table cells and never to supply or verify readings	OpenAI Codex	physical PDF p.26; printed p.22; source-order item S057 dust; list A. Rabha / Rongdani; left table; schwa and final tap visibly confirmed
S057_MTR	hɑdɑbuɾ	attested	high	manual visual transcription from 1200-dpi rendered source image; OCR/PDF text used only to locate table cells and never to supply or verify readings	OpenAI Codex	physical PDF p.26; printed p.22; source-order item S057 dust; list B. Rabha / Maituri; left table; medial open back vowel and final tap visibly confirmed
S058_RDG	sonə	attested	high	manual visual transcription from 1200-dpi rendered source image; OCR/PDF text used only to locate table cells and never to supply or verify readings	OpenAI Codex	physical PDF p.26; printed p.22; source-order item S058 gold; list A. Rabha / Rongdani; left table; final schwa visibly confirmed
S058_MTR	sonɑ	attested	high	manual visual transcription from 1200-dpi rendered source image; OCR/PDF text used only to locate table cells and never to supply or verify readings	OpenAI Codex	physical PDF p.26; printed p.22; source-order item S058 gold; list B. Rabha / Maituri; left table; final open back vowel visibly confirmed
S059_RDG	pɑn	attested	high	manual visual transcription from 1200-dpi rendered source image; OCR/PDF text used only to locate table cells and never to supply or verify readings	OpenAI Codex	physical PDF p.26; printed p.22; source-order item S059 tree; list A. Rabha / Rongdani; left table
S059_MTR	pʰɑŋ	attested	high	manual visual transcription from 1200-dpi rendered source image; OCR/PDF text used only to locate table cells and never to supply or verify readings	OpenAI Codex	physical PDF p.26; printed p.22; source-order item S059 tree; list B. Rabha / Maituri; left table; aspiration and final engma visibly confirmed
S060_RDG	tʃ̑ɑk̚	attested	high	manual visual transcription from 1200-dpi rendered source image; OCR/PDF text used only to locate table cells and never to supply or verify readings	OpenAI Codex	physical PDF p.26; printed p.22; source-order item S060 leaf; list A. Rabha / Rongdani; left table; source's small inverted breve on ʃ and final unreleased mark visibly confirmed
S060_MTR	tʃ̑ɑk̚	attested	high	manual visual transcription from 1200-dpi rendered source image; OCR/PDF text used only to locate table cells and never to supply or verify readings	OpenAI Codex	physical PDF p.26; printed p.22; source-order item S060 leaf; list B. Rabha / Maituri; left table; source's small inverted breve on ʃ and final unreleased mark visibly confirmed
