unit|region|pdf_page|form|gloss|context
t3:unaspirated:labial|t3|13|/pɪtɾɪ/|uncle|voice=unaspirated; place=labial
t3:unaspirated:dental|t3|13|/tɛ/|he|voice=unaspirated; place=dental
t3:unaspirated:palatal|t3|13|/tɕɪ́kɑːɾ/|bird|voice=unaspirated; place=palatal
t3:unaspirated:velar|t3|13|/kɑːɾ/|work|voice=unaspirated; place=velar
t3:aspirated:labial|t3|13|/pʰɪt/|fly|voice=aspirated; place=labial
t3:aspirated:dental|t3|13|/tʰɛ/|to|voice=aspirated; place=dental
t3:aspirated:palatal|t3|13|/tɕʰɪnɪl/|chopped|voice=aspirated; place=palatal
t3:aspirated:velar|t3|13|/kʰɑ̌ːl/|ate|voice=aspirated; place=velar
t3:voiced:labial|t3|13|/bɪ̀l/|became|voice=voiced; place=labial
t3:voiced:dental|t3|13|/dɛ/|from|voice=voiced; place=dental
t3:voiced:palatal|t3|13|/dʑɪb/|tongue|voice=voiced; place=palatal
t3:voiced:velar|t3|13|/gɑːɳ/|why|voice=voiced; place=velar
t4:1|t4|15|qisä|story|donor=Pashto ﻪﺼﻗ (qisa); phoneme=/q/
t4:2|t4|15|muqa|occasion|donor=Pashto ﻊﻗﻮﻣ (mauqa)
t4:3|t4|15|sabaq|lesson|donor=Pashto ﻖﺒﺳ (sabaq)
t4:4|t4|15|tsaaq|thief|donor=Gawri tsak; phoneme=/ts/
t4:5|t4|15|mätsin|fish|donor=Gawri mätsin
t4:6|t4|15|fuṭú|photo|donor=English photo; phoneme=/f/
t4:7|t4|15|sirif|only, merely|donor=Pashto فﺮﺻ (sirf )
t4:8|t4|15|xušaal|happy, content|donor=Pashto لﺎﺷﻮﺧ (xušaal); phoneme=/x/
t4:9|t4|15|wax|time|donor=Pashto ﺖﺧو (waxt)
t4:10|t4|15|zímidaar|farmer|donor=Gawri zimidaar; phoneme=/z/
t4:11|t4|15|bázaar|market|donor=Pashto رازﺎﺑ (baazaar)
t4:12|t4|15|meez|table|donor=Pashto ﺰﯧﻣ (mez)
t4:13|t4|15|ġalti|mistake|donor=Pashto ﻲﻄﻠﻏ (ġalati); phoneme=/ɣ/
t4:14|t4|15|naruġ|sick|donor=Pashto غورﺎﻧ (naaroġ)
t5:1|t5|15|in|is|donor=Palula hin
t5:2|t5|15|ä̀sil|laugh.pfv|donor=Palula hansíl-
t5:3|t5|15|ìm|snow|donor=Gawri him
t5:4|t5|15|ukumat|government|donor=Urdu hukūmat
t5:5|t5|15|xär|every|donor=Palula har; uncertain=yes
t6:1:kalkoti|t6|16|dra|brother|column=kalkoti
t6:2:kalkoti|t6|16|driṣ|see.pfv|column=kalkoti
t6:3:kalkoti|t6|16|draám|village|column=kalkoti
t6:4:kalkoti|t6|16|traač|guest|column=kalkoti
t6:5:kalkoti|t6|16|traa|three|column=kalkoti
t6:6:kalkoti|t6|16|traam|work|column=kalkoti
t9:1:kalkoti|t9|20|daan|tooth|column=kalkoti
t9:2:kalkoti|t9|20|raat|blood|column=kalkoti
t9:3:kalkoti|t9|20|čoor|four|column=kalkoti
t9:4:kalkoti|t9|20|bii|seed|column=kalkoti
t9:5:kalkoti|t9|20|ṣiṣ|head|column=kalkoti
t9:6:kalkoti|t9|20|šáak|wood|column=kalkoti
t9:7:kalkoti|t9|20|púu|boy|column=kalkoti
t9:8:kalkoti|t9|20|róo|song, music|column=kalkoti
t9:9:kalkoti|t9|20|taár|star|column=kalkoti
t9:10:kalkoti|t9|20|deéd|father’s mother|column=kalkoti
t9:11:kalkoti|t9|20|yeé|mother|column=kalkoti
t9:12:kalkoti|t9|20|dríg|long|column=kalkoti
t9:13:kalkoti|t9|20|meéš|man|column=kalkoti
t10:1:kalkoti|t10|22|bùun|(he) becomes|column=kalkoti
t10:2:kalkoti|t10|22|dä̀rin|ground|column=kalkoti
t10:3:kalkoti|t10|22|ḍä̀är|belly|column=kalkoti
t10:4:kalkoti|t10|22|ǰä̀gär|liver|column=kalkoti
t10:5:kalkoti|t10|22|gìin|(he) took, got|column=kalkoti
t10:6:kalkoti|t10|22|lùun|salt|column=kalkoti
t10:7:kalkoti|t10|22|yùun|(he) comes|column=kalkoti
t10:8:kalkoti|t10|22|ä̀sil|(he) laughed|column=kalkoti
t10:9:kalkoti|t10|22|dùúr|far away|column=kalkoti
t10:10:kalkoti|t10|22|gòór|horse|column=kalkoti
t12:1:sg|t12|27|meéš|man|column=sg
t12:1:pl|t12|27|míšaal|man|column=pl
t12:2:sg|t12|27|treer|woman|column=sg
t12:2:pl|t12|27|triyaal|woman|column=pl
t12:3:sg|t12|27|púu|boy|column=sg
t12:3:pl|t12|27|läḍkúr|boy|column=pl
t12:4:sg|t12|27|pée|girl|column=sg
t12:4:pl|t12|27|läḍkír|girl|column=pl
t13:1:sg|t13|29|ḍakṭar|doctor|column=sg
t13:1:pl|t13|29|ḍakṭar-aan|doctor|column=pl
t13:2:sg|t13|29|ingär|blacksmith|column=sg
t13:2:pl|t13|29|ingär-aan|blacksmith|column=pl
t13:3:sg|t13|29|kitaáb|book|column=sg
t13:3:pl|t13|29|kitaáb-uni|book|column=pl
t20:1:ipfv|t20|42|b-ùun|become|column=ipfv
t20:1:pfv|t20|42|b-ìl|become|column=pfv
t20:2:ipfv|t20|42|täl-uun|pour|column=ipfv
t20:2:pfv|t20|42|täl-il|pour|column=pfv
t20:3:ipfv|t20|42|khus-uun|cough|column=ipfv
t20:3:pfv|t20|42|khus-il|cough|column=pfv
t20:4:ipfv|t20|42|traar-uun|sell|column=ipfv
t20:4:pfv|t20|42|traar-il|sell|column=pfv
t20:5:ipfv|t20|42|ämuṣ-uun|forget|column=ipfv
t20:5:pfv|t20|42|ämuṣ-il|forget|column=pfv
t20:6:ipfv|t20|42|ṣ-uun|put on (clothes)|column=ipfv
t20:6:pfv|t20|42|ṣ-aál|put on (clothes)|column=pfv
t20:7:ipfv|t20|42|kh-uun|eat|column=ipfv
t20:7:pfv|t20|42|kh-aál|eat|column=pfv
t20:8:ipfv|t20|42|duw-uun|wash, clean|column=ipfv
t20:8:pfv|t20|42|duw-aál|wash, clean|column=pfv
t20:9:ipfv|t20|42|päl-uun|hide, steal|column=ipfv
t20:9:pfv|t20|42|päl-aál|hide, steal|column=pfv
t24:1:pfv|t24|46|päšaál|show|column=pfv
t24:1:ipfv|t24|46|päšuun|show|column=ipfv
t24:1:impv|t24|46|päša|show|column=impv
t24:2:pfv|t24|46|yaál|come|column=pfv
t24:2:pfv:a2|t24|46|yeél|come|column=pfv; printed=yaál, yeél
t24:2:ipfv|t24|46|yùun|come|column=ipfv
t24:2:impv|t24|46|yä|come|column=impv
t24:3:pfv|t24|46|thää́l|do|column=pfv
t24:3:ipfv|t24|46|thuun|do|column=ipfv
t24:3:impv|t24|46|thä|do|column=impv
t24:4:pfv|t24|46|čhinil|cut|column=pfv
t24:4:ipfv|t24|46|čhinuun|cut|column=ipfv
t24:4:impv|t24|46|čhin|cut|column=impv
t24:5:pfv|t24|46|goo|go|column=pfv
t24:5:pfv:a2|t24|46|gee|go|column=pfv; printed=goo, gee
t24:5:ipfv|t24|46|buun|go|column=ipfv
t24:5:impv|t24|46|čoo|go|column=impv
t25:1:pfv|t25|48|čhinil|cut|column=pfv
t25:1:ipfv|t25|48|čhinuun|cut|column=ipfv
t25:1:inf|t25|48|čhin|cut|column=inf
t25:1:vn|t25|48|čhinil|cut|column=vn
t25:2:pfv|t25|48|goo|go|column=pfv
t25:2:pfv:a2|t25|48|gee|go|column=pfv; printed=goo, gee
t25:2:ipfv|t25|48|buun|go|column=ipfv
t25:2:inf|t25|48|bä|go|column=inf
t25:2:vn|t25|48|bäyil|go|column=vn
t25:3:pfv|t25|48|yaál|come|column=pfv
t25:3:pfv:a2|t25|48|yeél|come|column=pfv; printed=yaál, yeél
t25:3:ipfv|t25|48|yuun|come|column=ipfv
t25:3:inf|t25|48|yee|come|column=inf
t25:3:vn|t25|48|yääl|come|column=vn
t25:4:pfv|t25|48|khaál|eat|column=pfv
t25:4:ipfv|t25|48|khuun|eat|column=ipfv
t25:4:inf|t25|48|khee|eat|column=inf
t25:5:pfv|t25|48|driṣ|see|column=pfv
t25:5:ipfv|t25|48|päšuun|see|column=ipfv
t25:5:inf|t25|48|piš|see|column=inf
t25:6:pfv|t25|48|mänil|say, speak|column=pfv
t25:6:ipfv|t25|48|mänuun|say, speak|column=ipfv
t25:6:inf|t25|48|min|say, speak|column=inf
t25:7:pfv|t25|48|píil|drink|column=pfv
t25:7:ipfv|t25|48|piluun|drink|column=ipfv
t25:7:inf|t25|48|pil|drink|column=inf
t25:8:pfv|t25|48|thää́l|do|column=pfv
t25:8:ipfv|t25|48|thuun|do|column=ipfv
t25:8:vn|t25|48|thääl|do|column=vn
t25:9:pfv|t25|48|bìl|become|column=pfv
t25:9:ipfv|t25|48|bùun|become|column=ipfv
