Entry_Key,Parameter_ID,Notes,Legacy_Form,Legacy_Gloss,Match
kalkoti:ex10:1:4,e35,,tapōs,question,matched on form and gloss
kalkoti:ex11:1:3,6145,,dǣ,to beat,matched on form and gloss
kalkoti:ex15:1:2,e36,,tipæ,now,matched on form and gloss
kalkoti:ex16:1:4,13726,,suvā,all,matched on form and gloss
kalkoti:ex17:1:3,4236,,gīn,took,matched on form and gloss
kalkoti:ex18:2:2,4116,Probably loaned from plains.,gāṛi,vehicle,matched on form and gloss
kalkoti:ex18:2:6,10174,,mukʰæ,front,matched on form and gloss
kalkoti:ex2:1:1,11628,,biyāl,yesterday,matched on form and gloss
kalkoti:ex3:1:4,9202,,bǣḍ,much,matched on form and gloss
kalkoti:ex3:1:5,12576,,śilūn,hurts,matched on form and gloss
kalkoti:ex4:1:5,4236,,giyāl,brought,matched on form and gloss
kalkoti:ex5:1:3,8047,,pænær,white,matched on form and gloss
kalkoti:ex6:1:2,3519,Or from [*kapā́la*](/parameters/2744)?,kōpær,skull,matched on form and gloss
kalkoti:ex8:1:3,9804,,mi,in,matched on form and gloss
kalkoti:fn15:4,6638,,lumāṭ,stick,matched on form and gloss
kalkoti:prose:bad,10930,,lātr,bad,matched on form and gloss
kalkoti:prose:bone,13952,,āḍ,bone,the 2022 form wrote a long vowel; p. 135 prints [ɑɖ]
kalkoti:prose:cut,2854,Vowel and *-r-* are unexplained; wrong etymon?,kruṭil,to cut,matched on form and gloss
kalkoti:prose:dust:a2,6835,,dūṛ,dust,the 2022 form wrote a long vowel; p. 135 prints [duɽ]
kalkoti:prose:full,8574,,cupuṭ,full,matched on form and gloss
kalkoti:prose:heavy,1962,,ugur,heavy,matched on form and gloss
kalkoti:prose:small,11072,,lukuṭ,small,matched on form and gloss
kalkoti:prose:tie,4353,,gæṇḍil,to tie,matched on form and gloss
kalkoti:prose:vomit,4998,,cʰaḍil,to vomit,the 2022 form wrote a; table 10 assigns [ə] to ä
kalkoti:prose:vomit:a2,4998,,cʰaṛil,to vomit,the 2022 form wrote a; table 10 assigns [ə] to ä
kalkoti:seg:aga,1008,,æga,rain,matched on form and gloss
kalkoti:seg:and,5647,,tē,and,matched on form and gloss
kalkoti:seg:cold,12487,,śidæl,cold,matched on form and gloss
kalkoti:seg:sleep,7200,,nīn,sleep,matched on form and gloss
kalkoti:seg:twenty,11616,,biś,twenty,matched on form and gloss
kalkoti:t11:1:i,5860,,tind,navel,matched on form and gloss
kalkoti:t11:1:ii,5839,,tīn,sharp,matched on form and gloss
