Item	Gloss	Similarity_Group	Raw_Form	Form	Site_Codes	Printed_Page	Column	Response	Aspiration_Markers	Review
1	sky	1	aka	akaʃ	0	35	1	1	0	source text-layer transcript; legacy glyphs checked against page image
1	sky	2	dn	dɪn	abcdef	35	1	2	0	source text-layer transcript; legacy glyphs checked against page image
2	sun	1	udo	ʃuɹdʒo	0	35	1	1	0	source text-layer transcript; legacy glyphs checked against page image
2	sun	2	bli	bɛli	bcde	35	1	2	0	source text-layer transcript; legacy glyphs checked against page image
2	sun	2	bni	bɛni	af	35	1	3	0	source text-layer transcript; legacy glyphs checked against page image
3	moon	1	ad	tʃãd	0	35	1	1	0	source text-layer transcript; legacy glyphs checked against page image
3	moon	2	dunak	dʒunak	abcdef	35	1	2	0	source text-layer transcript; legacy glyphs checked against page image
4	star	1	taa	taɾa	0abcdef	35	1	1	0	source text-layer transcript; legacy glyphs checked against page image
5	cloud	1	m	mɛɡʰ	0bcde	35	1	1	1	source text-layer transcript; legacy glyphs checked against page image
5	cloud	1	m ala	mɛɡʰala	af	35	1	2	1	source text-layer transcript; legacy glyphs checked against page image
6	rain	1	bri	brɪʃti	0	35	1	1	0	source text-layer transcript; legacy glyphs checked against page image
6	rain	2	boon	boɾon	abcdef	35	1	2	0	source text-layer transcript; legacy glyphs checked against page image
7	rainbow	1	d onuk	dʰonuk	a	35	1	1	1	source text-layer transcript; legacy glyphs checked against page image
7	rainbow	1	p nd onu	pʰɛndʰonu	ce	35	1	2	2	source text-layer transcript; legacy glyphs checked against page image
7	rainbow	2	ramd anu	ramdʰanu	b	35	1	3	1	source text-layer transcript; legacy glyphs checked against page image
7	rainbow	2	ramrd onu	ramɛrdʰonu	d	35	1	4	1	source text-layer transcript; legacy glyphs checked against page image
7	rainbow	2	ramord onu	ramordʰonu	f	35	1	5	1	source text-layer transcript; legacy glyphs checked against page image
7	rainbow	3	ramd anu	ramdʰanu	b	35	1	6	1	source text-layer transcript; legacy glyphs checked against page image
7	rainbow	3	rd nu	rɔŋdʰɔnu	0	35	1	7	1	source text-layer transcript; legacy glyphs checked against page image
8	wind	1	bata	bataʃ	0	35	2	1	0	source text-layer transcript; legacy glyphs checked against page image
8	wind	2	bou	bou̯	abcdef	35	2	2	0	source text-layer transcript; legacy glyphs checked against page image
9	lightning	1	bddut mkano	bɪddut tʃɔmkano	0	35	2	1	0	source text-layer transcript; legacy glyphs checked against page image
9	lightning	2	dou dilkar	dou̯ dʒilkar	acde	35	2	2	0	source text-layer transcript; legacy glyphs checked against page image
9	lightning	2	dilkar	dʒilkar	bf	35	2	3	0	source text-layer transcript; legacy glyphs checked against page image
10	thunder	1	m    don	mɛɡʰ ɡɔɹdʒon	0	35	2	1	1	source text-layer transcript; legacy glyphs checked against page image
10	thunder	2	dou dilkar	dou̯ dʒilkar	a	35	2	2	0	source text-layer transcript; legacy glyphs checked against page image
10	thunder	3	dn uduan	dɪn ɡudʒuɾan	ce	35	2	3	0	source text-layer transcript; legacy glyphs checked against page image
10	thunder	3	dn uduani	dɪn ɡudʒuɾani	f	35	2	4	0	source text-layer transcript; legacy glyphs checked against page image
10	thunder	3	dn udul	dɪn ɡudʒuɾɛl	d	35	2	5	0	source text-layer transcript; legacy glyphs checked against page image
10	thunder	3	uduel	ɡudʒuɾel	b	35	2	6	0	source text-layer transcript; legacy glyphs checked against page image
11	sea	1	mudo	ʃɔmudɾo	0abcdef	35	2	1	0	source text-layer transcript; legacy glyphs checked against page image
12	mountain	1	paha	pahaɽ	0	35	2	1	0	source text-layer transcript; legacy glyphs checked against page image
12	mountain	2	taa	tɛŋŋaɾa	abcdef	35	2	2	0	source text-layer transcript; legacy glyphs checked against page image
13	water	1	pani	pani	0abcdef	35	2	1	0	source text-layer transcript; legacy glyphs checked against page image
14	river	1	nodi	nodi	0	35	2	1	0	source text-layer transcript; legacy glyphs checked against page image
14	river	2	at	ɡat	adef	35	2	2	0	source text-layer transcript; legacy glyphs checked against page image
14	river	3	oa	ʃoɾa	c	35	2	3	0	source text-layer transcript; legacy glyphs checked against page image
14	river	3	soa	soɾa	b	35	2	4	0	source text-layer transcript; legacy glyphs checked against page image
15	soil/ground	1	mai	mati	0abcdef	35	2	1	0	source text-layer transcript; legacy glyphs checked against page image
16	mud	1	kada	kada	0	36	1	1	0	source text-layer transcript; legacy glyphs checked against page image
16	mud	2	or	or	abcdef	36	1	2	0	source text-layer transcript; legacy glyphs checked against page image
17	dust	1	d ula	dʰula	0	36	1	1	1	source text-layer transcript; legacy glyphs checked against page image
17	dust	1	d uli	dʰuli	abcdef	36	1	2	1	source text-layer transcript; legacy glyphs checked against page image
18	stone	1	pat or	patʰor	0	36	1	1	1	source text-layer transcript; legacy glyphs checked against page image
18	stone	2	hil	hil	abcdef	36	1	2	0	source text-layer transcript; legacy glyphs checked against page image
19	sand	1	bali	bali	0af	36	1	1	0	source text-layer transcript; legacy glyphs checked against page image
19	sand	2	lo	lɛŋŋo	bcde	36	1	2	0	source text-layer transcript; legacy glyphs checked against page image
20	gold	1	huna	huna	abcdef	36	1	1	0	source text-layer transcript; legacy glyphs checked against page image
20	gold	1	ona	ʃona	0	36	1	2	0	source text-layer transcript; legacy glyphs checked against page image
21	silver	1	rupa	rupa	0abcdef	36	1	1	0	source text-layer transcript; legacy glyphs checked against page image
22	today	1	ad	adʒ	0	36	1	1	0	source text-layer transcript; legacy glyphs checked against page image
22	today	1	adi	adʒi	abcdef	36	1	2	0	source text-layer transcript; legacy glyphs checked against page image
23	yesterday	1	tokal/kalke	ɡɔtokal/kalke	0	36	1	1	0	source text-layer transcript; legacy glyphs checked against page image
23	yesterday	2	lakali	ɡɛlɡakali	abcdf	36	1	2	0	source text-layer transcript; legacy glyphs checked against page image
23	yesterday	3	kali	kali	e	36	1	3	0	source text-layer transcript; legacy glyphs checked against page image
24	tomorrow	1	aamikal	aɡamikal	0	36	1	1	0	source text-layer transcript; legacy glyphs checked against page image
24	tomorrow	2	ahebokali	ahebokali	c	36	1	2	0	source text-layer transcript; legacy glyphs checked against page image
24	tomorrow	2	aherkali	aherkali	bd	36	1	3	0	source text-layer transcript; legacy glyphs checked against page image
24	tomorrow	2	ahibokali	ahibokali	af	36	1	4	0	source text-layer transcript; legacy glyphs checked against page image
24	tomorrow	3	kali	kali	e	36	1	5	0	source text-layer transcript; legacy glyphs checked against page image
25	week	1	hapta	hapta	abcdef	36	2	1	0	source text-layer transcript; legacy glyphs checked against page image
25	week	1	pta	ʃɔpta	0	36	2	2	0	source text-layer transcript; legacy glyphs checked against page image
26	month	1	ma	maʃ	0	36	2	1	0	source text-layer transcript; legacy glyphs checked against page image
26	month	2	maha	maha	abcdf	36	2	2	0	source text-layer transcript; legacy glyphs checked against page image
26	month	2	mahan	mahan	e	36	2	3	0	source text-layer transcript; legacy glyphs checked against page image
27	year	1	b or	bɔtʃʰor	0abcdef	36	2	1	1	source text-layer transcript; legacy glyphs checked against page image
