Snapshot_Date,Unit_ID,Region,PDF_Page,Printed_Page,Locator,Raw_Form,Raw_Gloss,Raw_Context,Status,Reason,Final_Form,Final_Gloss,Final_Phonemic,Final_Tags,Emitted_Key,Merged_Into,Source,Record_SHA256
2026-08-25,t3:unaspirated:labial,t3,13,9,"p. 9, table 3",/pɪtɾɪ/,uncle,voice=unaspirated; place=labial,installed,read from the PDF text layer and installed unchanged,pitri,uncle,pɪtɾɪ,,hultman2023kalkoti:t3:unaspirated:labial,,"hultman2023kalkoti[p. 9, table 3]",51ab350ba7e4a1c01c96fb3c5588d48fa6c6f4e3ab13de37468958bc53b97ebe
2026-08-25,t3:unaspirated:dental,t3,13,9,"p. 9, table 3",/tɛ/,he,voice=unaspirated; place=dental,installed,read from the PDF text layer and installed unchanged,tä,he,tɛ,,hultman2023kalkoti:t3:unaspirated:dental,,"hultman2023kalkoti[p. 9, table 3]",d7d49c3a1e90fe20352010693aa7f7977dc963ec4584a4fdb51fcd3249b1c034
2026-08-25,t3:unaspirated:palatal,t3,13,9,"p. 9, table 3",/tɕɪ́kɑːɾ/,bird,voice=unaspirated; place=palatal,installed,read from the PDF text layer and installed unchanged,číkaar,bird,tɕɪ́kɑːɾ,,hultman2023kalkoti:t3:unaspirated:palatal,,"hultman2023kalkoti[p. 9, table 3]",a004174992c75598e995d887cc003b65c2a4fb24c4ef18104f1c4ce1f84e31b3
2026-08-25,t3:unaspirated:velar,t3,13,9,"p. 9, table 3",/kɑːɾ/,work,voice=unaspirated; place=velar,installed,read from the PDF text layer and installed unchanged,kaar,work,kɑːɾ,,hultman2023kalkoti:t3:unaspirated:velar,,"hultman2023kalkoti[p. 9, table 3]",2ef6c9aa01ade30e84ef76db48fdfb96261abf764e4495d09674f9bd518b2a04
2026-08-25,t3:aspirated:labial,t3,13,9,"p. 9, table 3",/pʰɪt/,fly,voice=aspirated; place=labial,installed,read from the PDF text layer and installed unchanged,phit,fly,pʰɪt,,hultman2023kalkoti:t3:aspirated:labial,,"hultman2023kalkoti[p. 9, table 3]",e47ca737fac1ce74e457ba7bf0466c0c4ad9d9eb53b518e34823d527b28b8d3d
2026-08-25,t3:aspirated:dental,t3,13,9,"p. 9, table 3",/tʰɛ/,to,voice=aspirated; place=dental,installed,read from the PDF text layer and installed unchanged,thä,to,tʰɛ,,hultman2023kalkoti:t3:aspirated:dental,,"hultman2023kalkoti[p. 9, table 3]",b0019064265ef565de37df76c2944a7eca2f9eb97c01f441e79972e7a804d61a
2026-08-25,t3:aspirated:palatal,t3,13,9,"p. 9, table 3",/tɕʰɪnɪl/,chopped,voice=aspirated; place=palatal,installed,read from the PDF text layer and installed unchanged,čhinil,chopped,tɕʰɪnɪl,,hultman2023kalkoti:t3:aspirated:palatal,,"hultman2023kalkoti[p. 9, table 3]",90eb7ea732933d642365cabeda3d0178cdefbec7a7af8a7d70e81698f62e7bcb
2026-08-25,t3:aspirated:velar,t3,13,9,"p. 9, table 3",/kʰɑ̌ːl/,ate,voice=aspirated; place=velar,installed,read from the PDF text layer and installed unchanged,khaál,ate,kʰɑ̌ːl,,hultman2023kalkoti:t3:aspirated:velar,,"hultman2023kalkoti[p. 9, table 3]",5e96f38f23385e7487c614f14f373838ff3febe2709a7394f7ef12bcc7e55c8b
2026-08-25,t3:voiced:labial,t3,13,9,"p. 9, table 3",/bɪ̀l/,became,voice=voiced; place=labial,installed,read from the PDF text layer and installed unchanged,bìl,became,bɪ̀l,,hultman2023kalkoti:t3:voiced:labial,,"hultman2023kalkoti[p. 9, table 3]",22af405fdcfacd24fe324166cdff582c41d760d63a9df38393353b6a7476de92
2026-08-25,t3:voiced:dental,t3,13,9,"p. 9, table 3",/dɛ/,from,voice=voiced; place=dental,installed,read from the PDF text layer and installed unchanged,dä,from,dɛ,,hultman2023kalkoti:t3:voiced:dental,,"hultman2023kalkoti[p. 9, table 3]",52df45387d012a62a264916ad09c0581eaddf2b501591cf6b191406c96e528b6
