Snapshot_Date,Unit_ID,Parent_Unit_ID,PDF_Page,Printed_Page,Entry_Label,Series,Item_Type,Language,Dialect_Or_Source,Raw_Form,Raw_Gloss,Raw_Status,Raw_Relation,Old_Targets,Resolved_Targets,Final_Status,Final_Language_ID,Final_Parameter_ID,Emitted_Key,Resolution,Agent_Correction,Review,Material_Error,Source,Record_SHA256
2026-08-19,p475:u001,,2,475,S21,DEDS,record,,,,,,,den2-new:S²1,d49,raw_segment_audited,,,,structured raw segment retained in audit; 1 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den2[p. 475, entry S²1]",0610c9a3df22c11d9c41828275207ebfc95683052c266b574edb87765f1c8722
2026-08-19,p475:u001:f001,p475:u001,2,475,S21,DEDS,form,Tamil,,accu,ridge in a field,active,reflex,den2-new:S²1,d49,installed_form,Tamil,d49,burrow-emeneau1972den2:p475:u001:f001,DEN new entry resolved by exact language-and-form plus unique gloss overlap; agent transcription exactly corroborated by current DEDR,,source-image/current-DEDR reconciled,no,"burrow-emeneau1972den2[p. 475, entry S²1]",ab38f2b6020c82adb627c7e3cfc37a61bfafcfaecd275ab6014480595a91e67e
2026-08-19,p475:u001:f002,p475:u001,2,475,S21,DEDS,form,Tamil,,accu-kkattu (-kkatti-),to form a ridge around a field,active,reflex,den2-new:S²1,d49,installed_form,Tamil,d49,burrow-emeneau1972den2:p475:u001:f002,DEN new entry resolved by unique diacritic-insensitive language-and-form corroboration; agent structure corroborated; diacritics restored from unique current-DEDR match,agent form 'accu-kkattu (-kkatti-)' reconciled as 'accu-kkaṭṭu (-kkaṭṭi-)',source-image/current-DEDR reconciled,no,"burrow-emeneau1972den2[p. 475, entry S²1]",44b25f1bfe413f5c477c26e81cf8195ef8939d33dcc06935ffc87bcf7982c630
2026-08-19,p475:u001:f003,p475:u001,2,475,S21,DEDS,form,Tamil,,accukkattu,"field with ridges, lands divided into beds to admit and retain water for cultivation of paddy",active,reflex,den2-new:S²1,d49,installed_form,Tamil,d49,burrow-emeneau1972den2:p475:u001:f003,DEN new entry resolved by unique diacritic-insensitive language-and-form corroboration; agent structure corroborated; diacritics restored from unique current-DEDR match,agent form 'accukkattu' reconciled as 'accukkaṭṭu',source-image/current-DEDR reconciled,no,"burrow-emeneau1972den2[p. 475, entry S²1]",ae17b06e51a0166d131925dd83c9f67b3ab0a362b70a58cfa836abb0a38c639c
2026-08-19,p475:u001:f004,p475:u001,2,475,S21,DEDS,form,Telugu,inscr.,accu kaṭṭu seyu,to make a ridge along the boundary,active,reflex,den2-new:S²1,d49,unreconciled_transcription,Telugu,d49,,current-DEDR target inherited from the same DEN new-entry segment; agent transcription lacks a unique exact or diacritic-insensitive current-DEDR corroboration,,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den2[p. 475, entry S²1]",c39b193e76816aac353edee347c0e17cb95bad86494981f5104bcdcab705bde9
2026-08-19,p475:u002,,2,475,S22,DEDS,record,,,,,,,den2-new:S²2,d141,raw_segment_audited,,,,structured raw segment retained in audit; 1 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den2[p. 475, entry S²2]",b3233940cab083154bb0cf160246a3606801ea43c1802e28ffd05f747960e7e2
2026-08-19,p475:u002:f001,p475:u002,2,475,S22,DEDS,form,Kurukh,,atkha,"leaf, blade; plate made of sewn-up leaves",active,reflex,den2-new:S²2,d141,unreconciled_transcription,Kurux,d141,,current-DEDR target inherited from the same DEN new-entry segment; agent transcription lacks a unique exact or diacritic-insensitive current-DEDR corroboration,,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den2[p. 475, entry S²2]",6c08eba53b30edf55c3bbe815e4331d907d57d7f27b25d7948e1015d9860d513
2026-08-19,p475:u002:f002,p475:u002,2,475,S22,DEDS,form,Malto,,Atge,"leaf, palm of the hand",active,reflex,den2-new:S²2,d141,installed_form,Malto,d141,burrow-emeneau1972den2:p475:u002:f002,DEN new entry resolved by unique diacritic-insensitive language-and-form plus unique gloss overlap; agent structure corroborated; diacritics restored from unique current-DEDR match,agent form 'Atge' reconciled as 'átg̣e',source-image/current-DEDR reconciled,no,"burrow-emeneau1972den2[p. 475, entry S²2]",80a0566e86119d688b2019fe10b36420368c948967ab1c06ce5825c3cb968fa9
2026-08-19,p475:u002:f003,p475:u002,2,475,S22,DEDS,form,Malto,,Atgen ere,to divine by looking at a leaf,active,reflex,den2-new:S²2,d141,installed_form,Malto,d141,burrow-emeneau1972den2:p475:u002:f003,DEN new entry resolved by unique diacritic-insensitive language-and-form corroboration; agent structure corroborated; diacritics restored from unique current-DEDR match,agent form 'Atgen ere' reconciled as 'átgen ére',source-image/current-DEDR reconciled,no,"burrow-emeneau1972den2[p. 475, entry S²2]",7900e5d66ec5a69cba461223a005b984db30f78747756fb47cc9ca45019d6824
2026-08-19,p475:u002:f004,p475:u002,2,475,S22,DEDS,form,Malto,,atgo,a diviner,active,reflex,den2-new:S²2,d141,installed_form,Malto,d141,burrow-emeneau1972den2:p475:u002:f004,DEN new entry resolved by unique diacritic-insensitive language-and-form corroboration; agent structure corroborated; diacritics restored from unique current-DEDR match,agent form 'atgo' reconciled as 'átgo',source-image/current-DEDR reconciled,no,"burrow-emeneau1972den2[p. 475, entry S²2]",9bf568152ec080375daed31e02856ce6c83ef05e7e3556fe00e6ace4e11d130f
2026-08-19,p475:u002:f005,p475:u002,2,475,S22,DEDS,form,Kannada,,aku,,comparison_only,comparison_only,den2-new:S²2,d141,excluded_nonaccepted,,,,"comparison form retained as prose, not installed as a reflex",,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den2[p. 475, entry S²2]",74ea0a837aa2c0567c4c651ca9a3d5e10b7506aa6b201a6a3297c84fdfea2f48
2026-08-19,p475:u003,,2,475,S23,DEDS,record,,,,,,,den2-new:S²3,d289,raw_segment_audited,,,,structured raw segment retained in audit; 1 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den2[p. 475, entry S²3]",abf852dd4e229eca79b0f1e265a6d03d671a801cfadc9993316cf75ac81d673a
2026-08-19,p475:u003:f001,p475:u003,2,475,S23,DEDS,form,Parji,,arṇi-,to cross,active,reflex,den2-new:S²3,d289,unreconciled_transcription,Parji,d289,,current-DEDR target inherited from the same DEN new-entry segment; agent transcription lacks a unique exact or diacritic-insensitive current-DEDR corroboration,,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den2[p. 475, entry S²3]",edcb2f67b29f37885db5e2942e686e3b60a0cc3920f74d725b8fbf473b00ac8b
2026-08-19,p475:u003:f002,p475:u003,2,475,S23,DEDS,form,Parji,,arṇip- (arṇit-),to make to cross,active,derived,den2-new:S²3,d289,installed_form,Parji,d289,burrow-emeneau1972den2:p475:u003:f002,DEN new entry resolved by unique diacritic-insensitive language-and-form corroboration; agent structure corroborated; diacritics restored from unique current-DEDR match,agent form 'arṇip- (arṇit-)' reconciled as 'aṛñip- (aṛñit-)',source-image/current-DEDR reconciled,no,"burrow-emeneau1972den2[p. 475, entry S²3]",d57e97021770e2cfd20d0848670aacc46d1d08d38cc023bb3ece740ccd65cc84
2026-08-19,p475:u003:f003,p475:u003,2,475,S23,DEDS,form,Gondi,SR. W. Ph.,ahkana,"to cross, pass over",active,reflex,den2-new:S²3,d289,installed_form,Gondi,d289,burrow-emeneau1972den2:p475:u003:f003,DEN new entry resolved by unique diacritic-insensitive language-and-form corroboration; agent structure corroborated; diacritics restored from unique current-DEDR match,agent form 'ahkana' reconciled as 'ahkānā',source-image/current-DEDR reconciled,no,"burrow-emeneau1972den2[p. 475, entry S²3]",2fd8da70f7fb1871ceb7c62d5840d20f0bd4455d628fb1e065c22ddfbf2d8027
2026-08-19,p475:u003:f004,p475:u003,2,475,S23,DEDS,form,Gondi,Tr.,ahakana,"to cross, pass over",active,reflex,den2-new:S²3,d289,installed_form,betul,d289,burrow-emeneau1972den2:p475:u003:f004,DEN new entry resolved by unique diacritic-insensitive language-and-form corroboration; agent structure corroborated; diacritics restored from unique current-DEDR match,agent form 'ahakana' reconciled as 'ahakānā',source-image/current-DEDR reconciled,no,"burrow-emeneau1972den2[p. 475, entry S²3]",3a1c2cfcccd9faa9015113a49448c393c1bbb8cbac550be7f35847c6211b28b7
2026-08-19,p475:u003:f005,p475:u003,2,475,S23,DEDS,form,Gondi,Mu.,ahk garm,on the other side,active,reflex,den2-new:S²3,d289,installed_form,muria,d289,burrow-emeneau1972den2:p475:u003:f005,DEN new entry resolved by unique diacritic-insensitive language-and-form corroboration; agent structure corroborated; diacritics restored from unique current-DEDR match,agent form 'ahk garm' reconciled as 'ahk gaṛm',source-image/current-DEDR reconciled,no,"burrow-emeneau1972den2[p. 475, entry S²3]",6aaefcd73c7b803dba356931b5ab861fe398edb21b87505228ac330b113cbbb1
2026-08-19,p475:u004,,2,475,S24,DEDS,record,,,,,,,den2-new:S²4,d1,raw_segment_audited,,,,structured raw segment retained in audit; 1 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den2[p. 475, entry S²4]",0994d6d0be706c0ac95d89bba87744f60ab7e056cd908702bf00db071bf36ee6
2026-08-19,p475:u004:f001,p475:u004,2,475,S24,DEDS,form,Gondi,Ph.,anai,much,active,reflex,den2-new:S²4,d1,installed_form,mandla,d1,burrow-emeneau1972den2:p475:u004:f001,DEN new entry resolved by unique diacritic-insensitive language-and-form corroboration; agent structure corroborated; diacritics restored from unique current-DEDR match,agent form 'anai' reconciled as 'ānai',source-image/current-DEDR reconciled,no,"burrow-emeneau1972den2[p. 475, entry S²4]",da9a260f493d5ce439a0d50e08ca1b6167a980981ba2fa366fb2c8c25f2adfd9
2026-08-19,p475:u004:f002,p475:u004,2,475,S24,DEDS,form,Pengo,,anay,much,active,reflex,den2-new:S²4,d1,installed_form,Pengo,d1,burrow-emeneau1972den2:p475:u004:f002,DEN new entry resolved by exact language-and-form corroboration; agent transcription exactly corroborated by current DEDR,,source-image/current-DEDR reconciled,no,"burrow-emeneau1972den2[p. 475, entry S²4]",0aa73a21df676567a711d971c9bbde5ee75e85c1cc611434242aabf40a6dec6b
2026-08-19,p475:u005,,2,475,S25,DEDS,record,,,,,,,den2-new:S²5,d348,raw_segment_audited,,,,structured raw segment retained in audit; 1 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den2[p. 475, entry S²5]",ba3555c4d70030025fb644a616d45eb5292a0fce52cea8f73b926950d7a65580
2026-08-19,p475:u005:f001,p475:u005,2,475,S25,DEDS,form,Tamil,,aṭu (aṭi-),"to rub, besmear (as sandal paste)",active,reflex,den2-new:S²5,d348,installed_form,Tamil,d348,burrow-emeneau1972den2:p475:u005:f001,DEN new entry resolved by unique diacritic-insensitive language-and-form plus unique gloss overlap; agent structure corroborated; diacritics restored from unique current-DEDR match,agent form 'aṭu (aṭi-)' reconciled as 'āṭu (āṭi-)',source-image/current-DEDR reconciled,no,"burrow-emeneau1972den2[p. 475, entry S²5]",47343b547428e6dea337c22028825348f040dd504e196e240426bd099d9fbed3
