Item	Gloss	Current_Site_Code	Current_Review_Status	Current_Reviewed_Transcription	Prior_Source_Key	Prior_Site_Code	Prior_Reviewed_Transcription	Match_Status	Integration_Disposition	Notes
1	body	DUM	attested	ɛɾi	mathew-chamberlain2022bonda-didayi	DUM	ɛɾi	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
2	head	DUM	attested	bo:b'	mathew-chamberlain2022bonda-didayi	DUM	boːb	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
3	hair	DUM	attested	ʊgʔbob' | ɭuibo	mathew-chamberlain2022bonda-didayi	DUM	ʊgʔbo	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
4	face	DUM	attested	sʌɾmo	mathew-chamberlain2022bonda-didayi	DUM	sʌɾmo	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
5	eye	DUM	attested	mo	mathew-chamberlain2022bonda-didayi	DUM	moː	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
6	ear	DUM	attested	lʊn̩t̪ʊr	mathew-chamberlain2022bonda-didayi	DUM	luntu̪ɾ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
7	nose	DUM	attested	nsemi	mathew-chamberlain2022bonda-didayi	DUM	n̩tʃemi	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
8	mouth	DUM	attested	t̪ʊmo	mathew-chamberlain2022bonda-didayi	DUM	tʊ̪mo	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
9	tooth	DUM	attested	gine	mathew-chamberlain2022bonda-didayi	DUM	gine	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
10	tongue	DUM	attested	leʔjʌŋ	mathew-chamberlain2022bonda-didayi	DUM	lejʌŋ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
11	breast	DUM	excluded_disqualified		mathew-chamberlain2022bonda-didayi	DUM		both-unattested	checked-2002-list-current; 1997-list-superseded-audit-only	neither reviewed source supplies a lexical response
12	belly	DUM	attested	sʊloi	mathew-chamberlain2022bonda-didayi	DUM	sʊloi	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
13	arm	DUM	attested	t̪t̪i	mathew-chamberlain2022bonda-didayi	DUM	tɪ̪ti̪	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
14	elbow	DUM	attested	sʊnʊkʔt̪i	mathew-chamberlain2022bonda-didayi	DUM	sʊnʊŋkʊti̪	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
15	palm	DUM	attested	gʊt̪at̪i	mathew-chamberlain2022bonda-didayi	DUM	guta̪ti̪	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
16	finger	DUM	attested	nd̪ruait̪i	mathew-chamberlain2022bonda-didayi	DUM	n̩ɖɾuati̪	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
17	fingernail	DUM	attested	kɪrime	mathew-chamberlain2022bonda-didayi	DUM	kɪɾime	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
18	leg	DUM	attested	t̪iksʊŋ	mathew-chamberlain2022bonda-didayi	DUM	tɪ̪ksʊŋ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
19	skin	DUM	attested	ɪsa	mathew-chamberlain2022bonda-didayi	DUM	ɪsa | ɪsa	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
20	bone	DUM	attested	sɪksəŋ	mathew-chamberlain2022bonda-didayi	DUM	sɪksɐŋ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
21	heart	DUM	attested	dʒibon	mathew-chamberlain2022bonda-didayi	DUM	dʒɪbon	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
22	blood	DUM	attested	boni	mathew-chamberlain2022bonda-didayi	DUM	bɔni	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
23	urine	DUM	excluded_disqualified		mathew-chamberlain2022bonda-didayi	DUM		both-unattested	checked-2002-list-current; 1997-list-superseded-audit-only	neither reviewed source supplies a lexical response
24	feces	DUM	excluded_disqualified		mathew-chamberlain2022bonda-didayi	DUM		both-unattested	checked-2002-list-current; 1997-list-superseded-audit-only	neither reviewed source supplies a lexical response
25	village	DUM	attested	ŋgom	mathew-chamberlain2022bonda-didayi	DUM	ŋgɔm	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
26	house	DUM	attested	d̪iŋõ	mathew-chamberlain2022bonda-didayi	DUM	ɖɪŋõ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
27	roof	DUM	attested	giraŋbulei	mathew-chamberlain2022bonda-didayi	DUM	gɪɾaŋbʊlei	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
28	door	DUM	attested	pʌt̪a	mathew-chamberlain2022bonda-didayi	DUM	pʌʈa	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
29	firewood	DUM	attested	sʊŋo	mathew-chamberlain2022bonda-didayi	DUM	suŋɔ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
30	broom	DUM	attested	sʊnʊʔ	mathew-chamberlain2022bonda-didayi	DUM	sʊnʊk	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
