Snapshot_Date,Unit_ID,Parent_Unit_ID,PDF_Page,Printed_Page,Entry_Label,Series,Item_Type,Language,Dialect_Or_Source,Raw_Form,Raw_Gloss,Raw_Status,Raw_Relation,Old_Targets,Resolved_Targets,Final_Status,Final_Language_ID,Final_Parameter_ID,Emitted_Key,Resolution,Agent_Correction,Review,Material_Error,Source,Record_SHA256
2026-08-19,p407:u007:f001,p407:u007,12,407,2129,DED,form,Malayalam,"Tiyya, Calicut",cilla,small branch of tree,active,reflex,main:2129,d2587,installed_form,tiyya,d2587,burrow-emeneau1972den1:p407:u007:f001,unique old-number resolution; agent transcription exactly corroborated by current DEDR,,source-image/current-DEDR reconciled,no,"burrow-emeneau1972den1[p. 407, entry 2129]",08b49b9d2700a45796449a3c54d6bf7310edff9b47567c0538b29f6bc551be44
2026-08-19,p410:u007,,15,410,2977,DED,record,,,,,,,main:2977,d3602,raw_segment_audited,,,,structured raw segment retained in audit; 1 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den1[p. 410, entry 2977]",754925a833e01884a8de1a29c72dd38fdfb9358b14e122dfb1d3db29df259735
2026-08-19,p403:u001:f001,p403:u001,8,403,979,DED,form,Toda,,kaṇ ob,knife used in child's hair-cutting ceremony,active,reflex,main:979,d1166,unreconciled_transcription,Toda,d1166,,unique old-number resolution; agent transcription lacks a unique exact or diacritic-insensitive current-DEDR corroboration,,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den1[p. 403, entry 979]",d9564967d817daf204ab97246d0a759cb621dc4862036db1aa1e13a147377bce
2026-08-19,p416:u057:f008,p416:u057,21,416,S316,DEDS,form,Kuwi,S.,goghi,cough,active,derived,supplement:316,d2127,installed_form,Kuwi,d2127,burrow-emeneau1972den1:p416:u057:f008,unique old-number resolution; agent transcription exactly corroborated by current DEDR,,source-image/current-DEDR reconciled,no,"burrow-emeneau1972den1[p. 416, entry S316]",1196d03b5bb2cfb66726f52711b54c9edad85969df02274af05a6e93959a21e5
2026-08-19,p400:u054:f002,p400:u054,5,400,421,DED,form,Gondi,LuS.,lekee,silk-cotton tree,active,variant,main:421,d495,installed_form,Gondi,d495,burrow-emeneau1972den1:p400:u054:f002,unique old-number resolution; agent structure corroborated; diacritics restored from unique current-DEDR match,agent form 'lekee' reconciled as 'lèkee',source-image/current-DEDR reconciled,no,"burrow-emeneau1972den1[p. 400, entry 421]",2543335dd7fb431220262179730ceabf519e585465ffbf4a90ed74e473e506de
2026-08-19,p415:u014:f001,p415:u014,20,415,4336,DED,form,Kannada,Gul.,balpa,smooth,active,reflex,main:4336,d5298|d5495,unresolved_target,gulbarga,,,old entry split in current DEDR; no exact language-and-form match,,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den1[p. 415, entry 4336]",1b210058be24846566853c6d6f9a93f031ce13cc86659f9add285083707eb86c
2026-08-19,p418:u003:f002,p418:u003,23,418,S747,DEDS,form,Konda,,poRo,,corrected,reflex,supplement:747,d4569,installed_form,Konda,d4569,burrow-emeneau1972den1:p418:u003:f002,unique old-number resolution; agent transcription exactly corroborated by current DEDR,,source-image/current-DEDR reconciled,no,"burrow-emeneau1972den1[p. 418, entry S747]",d99a3970bbc922c2ae1383f55b784bf7a70f190aefb649f62968d6229e5bddb8
2026-08-19,p415:u060:f002,p415:u060,20,415,4544,DED,form,Malayalam,Tiyya,vecāru,anxiety,active,reflex,main:4544|main:747,d5524,installed_form,tiyya,d5524,burrow-emeneau1972den1:p415:u060:f002,unique old-number resolution; agent structure corroborated; diacritics restored from unique current-DEDR match,agent form 'vecāru' reconciled as 'vēcāṟu',source-image/current-DEDR reconciled,no,"burrow-emeneau1972den1[p. 415, entry 4544]",abddd22e967aae866aa82cd871e34169bf48ff2ab6ddaeb5148ceb7570ba8b20
2026-08-19,p401:u049:f001,p401:u049,6,401,637,DED,form,Sanskrit,lex.,udāra-,a sort of grain with long stalks,comparison_only,comparison_only,main:637,d740,excluded_nonaccepted,,,,"comparison form retained as prose, not installed as a reflex",,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den1[p. 401, entry 637]",3dadc50f3c9430a951a1fa38bc9b856ff5c7dfb807c94371102cdacfde029dc8
2026-08-19,p409:u020,,14,409,2777,DED,record,,,,,,,main:2777,d3376,raw_segment_audited,,,,structured raw segment retained in audit; 1 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den1[p. 409, entry 2777]",888a20a5e8dbcbe4207b591edd75e26b2474bc699f6259c22d7357d863b17ff3
2026-08-19,p406:u041,,11,406,1969,DED,record,,,,,,,main:1969,d2384,raw_segment_audited,,,,structured raw segment retained in audit; 1 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den1[p. 406, entry 1969]",839f09c7ece03394850c53c90426a7fcd46a8809e1d0c99a76b8cfb8cfd5bb37
2026-08-19,p413:u039,,18,413,3920,DED,record,,,,,,,main:3920,d4783,raw_segment_audited,,,,structured raw segment retained in audit; 1 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den1[p. 413, entry 3920]",236b53294a351fdb1623700b22e3e6754fbd038c4fd3833f33ac549757d1f852
2026-08-19,p400:u002,,5,400,133,DED,record,,,,,,,main:133,d156,raw_segment_audited,,,,structured raw segment retained in audit; 1 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den1[p. 400, entry 133]",465489c62180f56b46383993f194a10b830fad8a812cfe039651e70c8b241952
2026-08-19,p415:u028,,20,415,4392,DED,record,,,,,,,main:4392,d5362,raw_segment_audited,,,,structured raw segment retained in audit; 1 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den1[p. 415, entry 4392]",4f393903fc9ba02ad5185fc48bbd650c2d4133ca18ab07dd84a5acfdaed8f0cd
2026-08-19,p416:u034,,21,416,S192,DEDS,record,,,,,,,supplement:192,da25,raw_segment_audited,,,,structured raw segment retained in audit; 1 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den1[p. 416, entry S192]",94af6c7383857d40d6cb889293ebd505751fe9a7ce931f05eae5b8f6470cf818
2026-08-19,p407:u032:f001,p407:u032,12,407,2223(b),DED,form,Gondi,Ko.,ud-,"to turn round, revolve, roam",active,reflex,main:2223|supplement:571,d2698,installed_form,koya,d2698,burrow-emeneau1972den1:p407:u032:f001,unique old-number resolution; agent structure corroborated; diacritics restored from unique current-DEDR match,agent form 'ud-' reconciled as 'uḍ-',source-image/current-DEDR reconciled,no,"burrow-emeneau1972den1[p. 407, entry 2223(b)]",16782aa39a4870bdeec86e68c23c3ce2fa85e16c7a8a66c4f389933504dd001b
2026-08-19,p416:u023:f001,p416:u023,21,416,S112,DEDS,form,Telugu,,oḍikamu,"prettiness, beauty, elegance",active,reflex,supplement:112,d967,installed_form,Telugu,d967,burrow-emeneau1972den1:p416:u023:f001,unique old-number resolution; agent transcription exactly corroborated by current DEDR,,source-image/current-DEDR reconciled,no,"burrow-emeneau1972den1[p. 416, entry S112]",9d0fa0ca05ee4ab5664fb1a507e6b2d87ffebf3e84e1ebf6cd011bd21620930f
2026-08-19,p413:u005,,18,413,3709,DED,record,,,,,,,main:3709|main:3320,d4034|d4541,raw_segment_audited,,,,structured raw segment retained in audit; 2 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den1[p. 413, entry 3709]",e48062dc3b3db072090eb1125e10a70e627dbb2976a33ada1496d5132c3b4eaa
2026-08-19,p399:u006:f001,p399:u006,4,399,47,DED,form,Kota,,ajja,,deleted,reflex,main:47,da6,excluded_nonaccepted,,,,source-deleted form retained in the audit and correction prose only,,source structure reviewed; exclusion or unresolved state is explicit,no,"burrow-emeneau1972den1[p. 399, entry 47]",671926da17803816561c8c98a21298cce1984a5556384ce1119dc492baa89aea
2026-08-19,p413:u033,,18,413,3875,DED,record,,,,,,,main:3875,d4735,raw_segment_audited,,,,structured raw segment retained in audit; 1 current DEDR target(s) resolved,,page-agent structure reviewed; running text pending diplomatic verification,unreviewed,"burrow-emeneau1972den1[p. 413, entry 3875]",573f23bc86e02ecd03a2e65f54a7b63164b3df4972d5919e7bc1eb1132ffe8da
