Cell_Key	Manual_Form	Cell_Status	Confidence	Review_Method	Reviewer	Notes
kurumba2012:tamil_madras:i251		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.227 / printed p.222 / item 251 / Tamil; four printed dashes confirmed in enlarged 450/900 dpi rendered cell
kurumba2012:tamil_madras:i252		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.227 / printed p.222 / item 252 / Tamil; four printed dashes confirmed in enlarged 450/900 dpi rendered cell
kurumba2012:tamil_madras:i253	sɪruʈʈa'	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.227 / printed p.222 / item 253 / Tamil; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically
kurumba2012:tamil_madras:i254	jʌna'	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.227 / printed p.222 / item 254 / Tamil; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically
kurumba2012:tamil_madras:i255	pʌsu	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.227 / printed p.222 / item 255 / Tamil; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically
kurumba2012:tamil_madras:i256	jeruɖu	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.227 / printed p.222 / item 256 / Tamil; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically
kurumba2012:tamil_madras:i257	aɖu	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.227 / printed p.222 / item 257 / Tamil; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically
kurumba2012:tamil_madras:i258		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.227 / printed p.222 / item 258 / Tamil; four printed dashes confirmed in enlarged 450/900 dpi rendered cell
kurumba2012:tamil_madras:i259	uɭʌvʌn	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.227 / printed p.222 / item 259 / Tamil; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically
kurumba2012:tamil_madras:i260	mʌjɪl	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.227 / printed p.222 / item 260 / Tamil; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically
