Item	Gloss	Source_prompt_note
1	body	
2	head	
3	face	
4	eye	
5	nose	
6	mouth	
7	arm	
8	palm	
9	finger	
10	belly	
11	leg	
12	foot	
13	skin	
14	bone	
15	blood	
16	bangle	bracelet
17	anklet	
18	ring	gold band
19	footwear	shoe
20	man's dress	
21	woman's dress	
22	town	
23	village	
24	house	
25	roof	
26	door	
27	window	
28	broom	
29	basket	
30	cow dung	
31	firewood	
32	machete	sickle
33	axe	
34	knife	
35	rope	
36	hoe	
37	plough	
38	shovel	
39	bow	
40	arrow	
41	sun	
42	moon	
43	sky	
44	shadow	
45	rain	
46	water	
47	river	
48	field	wet / dry
49	plain	plateau
50	hill	
51	path	walking
52	wind	
53	fire	
54	smoke	
55	ash	
56	mud	
57	stone	
58	dust	
59	gold	metal
60	brass	
61	forest	
62	tree	
63	leaf	
64	plant	
65	thorn	
66	flower	
67	fruit	
68	mango	
69	banana	
70	orange	
71	wheat	
72	millet	
73	rice	in field / husked / cooked
74	potato	
75	eggplant	
76	peanut	groundnut
77	chili	
78	sesame	
79	garlic	
80	onion	
81	betel nut	
82	tobacco	
83	tea	leaves
84	oil	
85	salt	
86	meat	
87	fish	
88	chicken	
89	egg	
90	cow	
91	buffalo	
92	milk	
93	leather	hide
94	tail	
95	horns	
96	goat	
97	dog	
98	mosquito	
99	ant	
100	spider	
101	person	man
102	man	male
103	woman	female
104	child	
105	father	
106	mother	
107	brother (male ego)	older / younger
108	sister (male ego)	older / younger
109	son	
110	daughter	
111	husband	
112	wife	
113	shrine	
114	temple	mosque
115	festival	
116	spirit	
117	day	
118	night	
119	morning	
120	noon	
121	evening	afternoon
122	yesterday	
123	today	
124	tomorrow	
125	week	
126	month	
127	year	
128	cold season	
129	warm season	
130	good	
131	bad	
132	wet	
133	dry	
134	long	
135	short	
136	hot	
137	cold	
138	right	
139	left	
140	near	
141	far	
142	big	
143	small	
144	above	
145	below	
146	white	
147	black	
148	red	
149	blue	green
150	one	
151	two	
152	three	
153	four	
154	five	
155	six	
156	seven	
157	eight	
158	nine	
159	ten	
160	eleven	
161	twelve	
162	thirteen	
163	fourteen	
164	fifteen	
165	sixteen	
166	seventeen	
167	eighteen	
168	nineteen	
169	twenty	
170	twenty-one	
171	thirty	
172	fifty	
173	one hundred	
174	two hundred	
175	one thousand	
176	two thousand	
177	ten thousand	
178	first	
179	second	
180	third	
181	half	
182	quarter	
183	Who is this?	
184	What is this?	
185	What is that?	
186	What are these?	
187	What are those?	
188	Where are you going?	
189	When are you going?	
190	How are you going?	
191	How many are there?	
192	How much is it?	does it cost?
193	yes	it is
194	no	it isn't
195	same	like
196	different	other
197	I don't know.	
198	What is your name?	
