Cell_Key	Manual_Form	Cell_Status	Confidence	Review_Method	Reviewer	Notes
S071_RDG	bɑdɑm	attested	high	manual visual transcription from 1200-dpi rendered source image; OCR/PDF text used only to locate table cells and never to supply or verify readings	OpenAI Codex	physical PDF p.27; printed p.23; source-order item S071 groundnut; list A. Rabha / Rongdani; left table; both open back vowels visibly confirmed
S071_MTR	bɑdɑm	attested	high	manual visual transcription from 1200-dpi rendered source image; OCR/PDF text used only to locate table cells and never to supply or verify readings	OpenAI Codex	physical PDF p.27; printed p.23; source-order item S071 groundnut; list B. Rabha / Maituri; left table; both open back vowels visibly confirmed
S072_RDG	d͡ʒəluk	attested	high	manual visual transcription from 1200-dpi rendered source image; OCR/PDF text used only to locate table cells and never to supply or verify readings	OpenAI Codex	physical PDF p.27; printed p.23; source-order item S072 chili; list A. Rabha / Rongdani; left table; source's spanning affricate tie and following schwa visibly confirmed at targeted zoom
S072_MTR	d͡ʒɑluk̚	attested	high	manual visual transcription from 1200-dpi rendered source image; OCR/PDF text used only to locate table cells and never to supply or verify readings	OpenAI Codex	physical PDF p.27; printed p.23; source-order item S072 chili; list B. Rabha / Maituri; left table; source's spanning affricate tie, open back vowel, and final unreleased mark visibly confirmed at targeted zoom
S073_RDG	huldijɑ	attested	high	manual visual transcription from 1200-dpi rendered source image; OCR/PDF text used only to locate table cells and never to supply or verify readings	OpenAI Codex	physical PDF p.27; printed p.23; source-order item S073 turmeric; list A. Rabha / Rongdani; left table; baseline j and final open back vowel visibly confirmed
S073_MTR	holdi	attested	high	manual visual transcription from 1200-dpi rendered source image; OCR/PDF text used only to locate table cells and never to supply or verify readings	OpenAI Codex	physical PDF p.27; printed p.23; source-order item S073 turmeric; list B. Rabha / Maituri; left table; vowels visibly confirmed
S074_RDG	ɾɑjsun buqɑj	attested	high	manual visual transcription from 1200-dpi rendered source image; OCR/PDF text used only to locate table cells and never to supply or verify readings	OpenAI Codex	physical PDF p.27; printed p.23; source-order item S074 garlic; list A. Rabha / Rongdani; left table; initial tap, internal space, q, and both baseline j glyphs visibly confirmed
S074_MTR	ɾosun	attested	high	manual visual transcription from 1200-dpi rendered source image; OCR/PDF text used only to locate table cells and never to supply or verify readings	OpenAI Codex	physical PDF p.27; printed p.23; source-order item S074 garlic; list B. Rabha / Maituri; left table; initial tap and vowel visibly confirmed
S075_RDG	ɾɑjsun sɑqːɑj	attested	high	manual visual transcription from 1200-dpi rendered source image; OCR/PDF text used only to locate table cells and never to supply or verify readings	OpenAI Codex	physical PDF p.27; printed p.23; source-order item S075 onion; list A. Rabha / Rongdani; left table; initial tap, internal space, q with following length mark, and both baseline j glyphs visibly confirmed
S075_MTR	pjɑs	attested	high	manual visual transcription from 1200-dpi rendered source image; OCR/PDF text used only to locate table cells and never to supply or verify readings	OpenAI Codex	physical PDF p.27; printed p.23; source-order item S075 onion; list B. Rabha / Maituri; left table; baseline j and open back vowel visibly confirmed
