Item	PDF_Page	Printed_Page	Column	Header_OCR	Site	Role	Site_OCR	Raw_OCR	Raw_OCR_Primary	Raw_OCR_Secondary	Raw_OCR_Latin	OCR_Pass	Blank	Alignment_Note	Transcription	Review	Uncertainty
1	28	21	1	1. body	HRT	target	HRT	1 geht 42 gat 13 kaja	1 geht 42 gat 13 kaja	1 geht 42 gat 13 kaja	1 gohi ?/2 gat /3 kaja	tesseract_psm6	0	token=HRT;edit=0;score=0.00		pending	
1	28	21	1	1. body	HJN	target	HJN	4 sect /2 gat	4 sect /2 gat	4 sect /2 gat	4 sct 12 gat	tesseract_psm6	0	token=HJN;edit=0;score=0.00		pending	
1	28	21	1	1. body	HFT	target	NFT	1 goh /5 sarcic /3 kaja	1 goh /5 sarcic /3 kaja	1 goh /5 sarcic /3 kaja	1 doh /5 saric /3 kaja	tesseract_psm6	0	token=NFT;edit=1;score=1.00		pending	
1	28	21	1	1. body	HNG	target	HNG	2 gat /3 kaja /6 tan	2 gat /3 kaja /6 tan	2 gat /3 kaja /6 tan	2 gag /3 kaja 1/6 kan	tesseract_psm6	0	token=HNG;edit=0;score=0.00		pending	
1	28	21	1	1. body	BPL	comparison	BPL	1 geht	1 geht	1 geht	1 gehi	tesseract_psm6	0	token=BPL;edit=0;score=0.00		audit-only comparison	
1	28	21	1	1. body	HTR	target	HTR	3 sacic	3 sacic	3 sacic	5 sarcir	tesseract_psm6	0	token=HTR;edit=0;score=0.00		pending	
1	28	21	1	1. body	HLH	target	HLH	1 geh	1 geh	1 geh	1 deh	tesseract_psm6	0	token=HLH;edit=0;score=0.00		pending	
1	28	21	1	1. body	PBG	comparison	PBG	7 dgcsum	7 dgcsum	7 dgcsum	7 dztsum	tesseract_psm6	0	token=PBG;edit=0;score=0.00		audit-only comparison	
1	28	21	1	1. body	HIN	comparison	HIN	S facic (7 badan	S facic (7 badan	S facic (7 badan	5 facic 17 badan	tesseract_psm6	0	token=HIN;edit=0;score=0.00		audit-only comparison	
1	28	21	1	1. body	PUN	comparison	PUN	53 faric	53 faric	53 faric	5 farir	tesseract_psm6	0	token=PUN;edit=0;score=0.00		audit-only comparison	
2	28	21	2	2. head	HRT	target	HRT	1 sic	1 sic	1 sic	1 sic	tesseract_psm6	0	token=HRT;edit=0;score=0.00		pending	
2	28	21	2	2. head	HJN	target	HJN	1 sic	1 sic	1 sic	1 sir	tesseract_psm6	0	token=HJN;edit=0;score=0.00		pending	
2	28	21	2	2. head	HFT	target	HFT	1 sar 71 ser	1 sar 71 ser	1 sar 71 ser	1 sac 11 sir	tesseract_psm6	0	token=HFT;edit=0;score=0.00		pending	
2	28	21	2	2. head	HNG	target	HNG	1 ater	1 ater	1 ater	1 sır	tesseract_psm6	0	token=HNG;edit=0;score=0.00		pending	
2	28	21	2	2. head	BPL	comparison	BPL	1 steer	1 steer	1 steer	1 sir	tesseract_psm6	0	token=BPL;edit=0;score=0.00		audit-only comparison	
2	28	21	2	2. head	HTR	target	HTR	2 tont	2 tont	2 tont	2 tont	tesseract_psm6	0	token=HTR;edit=0;score=0.00		pending	
2	28	21	2	2. head	HLH	target	HLH	1 ste 72 tant	1 ste 72 tant	1 ste 72 tant	1 stc 12 tant	tesseract_psm6	0	token=HLH;edit=0;score=0.00		pending	
2	28	21	2	2. head	PBG	comparison	PBG	3 mOnd /1 fir	3 mOnd /1 fir	3 mOnd /1 fir	3 münd /1 fir	tesseract_psm6	0	token=PBG;edit=0;score=0.00		audit-only comparison	
2	28	21	2	2. head	HIN	comparison	HIN	1 ser	1 ser	1 ser	1 sır	tesseract_psm6	0	token=HIN;edit=0;score=0.00		audit-only comparison	
2	28	21	2	2. head	PUN	comparison	PUN	1 ster	1 ster	1 ster	1 sır	tesseract_psm6	0	token=PUN;edit=0;score=0.00		audit-only comparison	
3	28	21	3	3. hair	HRT	target	HRT	1 bal	1 bal	1 bal	1 baļ	tesseract_psm6	0	token=HRT;edit=0;score=0.00		pending	
3	28	21	3	3. hair	HJN	target	HJN	1 bal /2 kes	1 bal /2 kes	1 bal /2 kes	1 bal /2 kes	tesseract_psm6	0	token=HJN;edit=0;score=0.00		pending	
3	28	21	3	3. hair	HFT	target	HFT	1 bal	1 bal	1 bal	1 bal	tesseract_psm6	0	token=HFT;edit=0;score=0.00		pending	
