physical_page	printed_page	item	gloss	group	site_code	site	role	status	form	visible_base	note	evidence_sha256
49	48	94	bee	1	b	Nokshi	target	attested	nijatʃoŋ			5aa95ced7ddd3b11e60438b72659eb2f786b81e345f8f3e74e94d0573cf75be0
49	48	94	bee	1	c	Kholchanda	target	attested	nija (tʃoŋ)		Parenthetical source component retained literally.	5aa95ced7ddd3b11e60438b72659eb2f786b81e345f8f3e74e94d0573cf75be0
49	48	94	bee	2	q	Uttor Nokshi	target	attested	nɛ			5aa95ced7ddd3b11e60438b72659eb2f786b81e345f8f3e74e94d0573cf75be0
49	48	94	bee	1	r	Chandabhoi	target	attested	nija (tʃoŋ)		Parenthetical source component retained literally.	5aa95ced7ddd3b11e60438b72659eb2f786b81e345f8f3e74e94d0573cf75be0
49	48	94	bee	1	r	Chandabhoi	target	attested	nijatʃoŋ			5aa95ced7ddd3b11e60438b72659eb2f786b81e345f8f3e74e94d0573cf75be0
49	48	94	bee	2	l	Bharatpur	control	attested	nɛ			5aa95ced7ddd3b11e60438b72659eb2f786b81e345f8f3e74e94d0573cf75be0
49	48	94	bee	3	m	Nalchapra	control	attested	mɛ			5aa95ced7ddd3b11e60438b72659eb2f786b81e345f8f3e74e94d0573cf75be0
49	48	94	bee	4	0	Bangla	control	attested	mou̯matʃʰi			5aa95ced7ddd3b11e60438b72659eb2f786b81e345f8f3e74e94d0573cf75be0
49	48	95	fly	1	b	Nokshi	target	attested	mai̯ paratʃoŋ			5aa95ced7ddd3b11e60438b72659eb2f786b81e345f8f3e74e94d0573cf75be0
49	48	95	fly	1	c	Kholchanda	target	attested	mai̯ paratʃoŋ			5aa95ced7ddd3b11e60438b72659eb2f786b81e345f8f3e74e94d0573cf75be0
49	48	95	fly	4	q	Uttor Nokshi	target	attested	tʃoŋ			5aa95ced7ddd3b11e60438b72659eb2f786b81e345f8f3e74e94d0573cf75be0
49	48	95	fly	1	r	Chandabhoi	target	attested	mai̯ paratʃoŋ			5aa95ced7ddd3b11e60438b72659eb2f786b81e345f8f3e74e94d0573cf75be0
49	48	95	fly	2	l	Bharatpur	control	attested	sot			5aa95ced7ddd3b11e60438b72659eb2f786b81e345f8f3e74e94d0573cf75be0
49	48	95	fly	2	m	Nalchapra	control	attested	sot			5aa95ced7ddd3b11e60438b72659eb2f786b81e345f8f3e74e94d0573cf75be0
49	48	95	fly	3	0	Bangla	control	attested	matʃʰi			5aa95ced7ddd3b11e60438b72659eb2f786b81e345f8f3e74e94d0573cf75be0
49	48	96	spider	2	b	Nokshi	target	ambiguous		abrɛk	A small upper-right corner-like modifier is printed after visible `abrɛk`; its value is not inferred.	5aa95ced7ddd3b11e60438b72659eb2f786b81e345f8f3e74e94d0573cf75be0
49	48	96	spider	2	c	Kholchanda	target	ambiguous		abrɛk	A small upper-right corner-like modifier is printed after visible `abrɛk`; its value is not inferred.	5aa95ced7ddd3b11e60438b72659eb2f786b81e345f8f3e74e94d0573cf75be0
49	48	96	spider	4	q	Uttor Nokshi	target	attested	makrɛk			5aa95ced7ddd3b11e60438b72659eb2f786b81e345f8f3e74e94d0573cf75be0
49	48	96	spider	2	r	Chandabhoi	target	ambiguous		abrɛk	A small upper-right corner-like modifier is printed after visible `abrɛk`; its value is not inferred.	5aa95ced7ddd3b11e60438b72659eb2f786b81e345f8f3e74e94d0573cf75be0
49	48	96	spider	1	l	Bharatpur	control	attested	gawaŋ			5aa95ced7ddd3b11e60438b72659eb2f786b81e345f8f3e74e94d0573cf75be0
49	48	96	spider	1	m	Nalchapra	control	attested	gawaŋ			5aa95ced7ddd3b11e60438b72659eb2f786b81e345f8f3e74e94d0573cf75be0
49	48	96	spider	3	0	Bangla	control	attested	makorʃa			5aa95ced7ddd3b11e60438b72659eb2f786b81e345f8f3e74e94d0573cf75be0
49	48	97	ant	1	b	Nokshi	target	attested	sɛmal			5aa95ced7ddd3b11e60438b72659eb2f786b81e345f8f3e74e94d0573cf75be0
49	48	97	ant	1	c	Kholchanda	target	attested	ʃɛmar			5aa95ced7ddd3b11e60438b72659eb2f786b81e345f8f3e74e94d0573cf75be0
49	48	97	ant	1	q	Uttor Nokshi	target	attested	ʃimer			5aa95ced7ddd3b11e60438b72659eb2f786b81e345f8f3e74e94d0573cf75be0
49	48	97	ant	1	r	Chandabhoi	target	attested	sɛmar			5aa95ced7ddd3b11e60438b72659eb2f786b81e345f8f3e74e94d0573cf75be0
49	48	97	ant	1	l	Bharatpur	control	attested	samal			5aa95ced7ddd3b11e60438b72659eb2f786b81e345f8f3e74e94d0573cf75be0
49	48	97	ant	1	m	Nalchapra	control	attested	samal			5aa95ced7ddd3b11e60438b72659eb2f786b81e345f8f3e74e94d0573cf75be0
49	48	97	ant	2	0	Bangla	control	attested	pipra			5aa95ced7ddd3b11e60438b72659eb2f786b81e345f8f3e74e94d0573cf75be0
