Site_Code	Scope	Install	Language_ID	Dialect_ID	Display_Name	Source_Type	Note
NCH	new_target	yes	Noiri	sil-noira-2015-noiri-chillare	Chillare	field_list	Noiri team elicitation
NPN	new_target	yes	Noiri	sil-noira-2015-noiri-pannali	Pannali	field_list	Noiri team elicitation
NAS	republished_dhule	no	Noiri	sil-dhule-2013-noiri-astamba	Astamba	published_comparison	Dhule-team list republished in ESR 2015-012
NGO	new_target	yes	Noiri	sil-noira-2015-noiri-gomon	Gomon	field_list	Noiri team elicitation
BMU	republished_dhule	no	Noiri	sil-dhule-2013-noiri-mundalwad	Mundalwad	published_comparison	Dhule-team Mundalwad list; source appendix spells Mutalwad
DBM	new_target	yes	DungraBhili	sil-noira-2015-dungra-bhili-mathwad	Mathwad	field_list	Noiri team elicitation
DBA	new_target	yes	DungraBhili	sil-noira-2015-dungra-bhili-ambadungar	Ambadungar	field_list	Dungra Bhili team elicitation
NTO	republished_dhule	no		sil-dhule-2013-nahali-toranmal	Toranmal	published_comparison	Checked Dhule-team list republished in ESR 2015-012
KNA	new_target	yes	Noiri	sil-noira-2015-kotli-narayanpur	Narayanpur	field_list	Provisional source-supported Noiri dialect routing; source calls Kotli a reported Noiri dialect but concludes it has a distinctive identity requiring further research; do not equate with historical Kotali/Khandesi
KTA	new_target	yes	Noiri	sil-noira-2015-kotli-taradi	Taradi	field_list	Provisional source-supported Noiri dialect routing; preserve respondent label Adivasi Bhil-Taradi; identity requires further research; do not equate with historical Kotali/Khandesi
GTA	new_target	yes	Goj	sil-noira-2015-gujari-taradi	Taradi	field_list	Noiri team elicitation
GUJ	comparison_control	no	G		Gujarati	published_comparison	Audit-only control
MAR	comparison_control	no	M		Marati	published_comparison	Audit-only control; source spelling retained
HIN	comparison_control	no	H		Hindi	published_comparison	Audit-only control
NTE	new_target	yes	ko	sil-noira-2015-korku-tembhi	Tembhi	field_list	Source labels Nihali-Tembhi; report concludes this eastern group has shifted to Korku
TKO	new_target	yes	ko	sil-noira-2015-korku-tukaithad	Tukaithad	field_list	Noiri team Korku elicitation
NJA	new_target	yes	Ni	sil-noira-2015-nihali-jamod	Jamod	field_list	Noiri team Nihali elicitation
