line_id	item	gloss	group	site_codes	status	form	visible_base	note
P039-L001	1	sky	0	B	blank			Printed “no entry”.
P039-L002	1	sky	1	CDE	attested	mɛrxa		
P039-L003	1	sky	2	0	attested	akaʃ		
P039-L004	1	sky	3	A	attested	məⁱjə		
P039-L005	2	sun	1	A	attested	bɪr		
P039-L006	2	sun	1	BCDE	attested	biɽi		
P039-L007	2	sun	2	0	attested	ʃuɹd͜ʒo		
P039-L008	3	moon	1	BCDE	attested	t͜ʃando		
P039-L009	3	moon	1	A	attested	t͜ʃʰɛnd		Site A has two separately printed response lines; this line is retained separately as printed.
P039-L010	3	moon	2	0	attested	t͜ʃãd		
P039-L011	3	moon	2	A	attested	t͜ʃʰɛnd		Site A has two separately printed response lines; this line is retained separately as printed.
P039-L012	4	star	1	BCDE	attested	binko		
P039-L013	4	star	2	0	attested	tara		
P039-L014	4	star	3	A	attested	tɛrgɛn		
P039-L015	5	cloud	1	CDE	attested	badali		
P039-L016	5	cloud	1	B	attested	padali		
P039-L017	5	cloud	2	0	attested	mɛgʰ		
P039-L018	5	cloud	3	A	attested	bəbri		
P039-L019	6	rain	1	A	attested	t͜ʃɛb		
P039-L020	6	rain	1	B	attested	t͜ʃɛp		
P039-L021	6	rain	1	CDE	attested	t͜ʃɛ̃p		
P039-L022	6	rain	2	0	attested	brɪʃti		
P039-L023	7	rainbow	1	C	attested	dʰanukbar		
P039-L024	7	rainbow	1	B	attested	dʰanukdal		
P039-L025	7	rainbow	2	DE	attested	ɾamdʰanu		
P039-L026	7	rainbow	2	0	attested	rɔŋdʰɔnu		
P039-L027	7	rainbow	3	A	attested	ɪndrədos		
P039-L028	8	wind	1	A	attested	tɛqɛ		
P039-L029	8	wind	1	BCDE	attested	taka		
P039-L030	8	wind	2	0	attested	bataʃ		
P039-L031	9	lightning	0	A	blank			Printed “no entry”.
P039-L032	9	lightning	1	B	attested	bad͜ʒal		
P039-L033	9	lightning	2	C	attested	birt͜ʃʰi		
P039-L034	9	lightning	2	DE	attested	birt͜ʃi		
P039-L035	9	lightning	3	0	attested	bɪddut t͜ʃɔmkano		
P039-L036	10	thunder	0	A	blank			Printed “no entry”.
P039-L037	10	thunder	1	BCDE	attested	muri		
P039-L038	10	thunder	2	0	attested	mɛgʰ gɔɽd͜ʒon		
