PDF_Page	Printed_Page	Concept	Gloss	Lect	Category	Response_Index	Form	Notes	Raw_Fragments	Source_Status
58	57	1	body	N-Son-Bal	1	1	sʌɾir		N-Son-Bal 1 sʌɾir	response
58	57	1	body	N-Son-Pat	1	1	ʃəɾiɾ		N-Son-Pat 1 ʃəɾiɾ	response
58	57	1	body	N-Son-Pat	1	2	sʌɾi		1 sʌɾi	response
58	57	1	body	N-Son-Pat	4	3	tʃʌmədɔ		4 tʃʌmədɔ	response
58	57	1	body	N-Bal-Br	1	1	sʌɾi		N-Bal-Br 1 sʌɾi	response
58	57	1	body	N-Jaj-OBC	2	1	bɑd̪ɑn		N-Jaj-OBC 2 bɑd̪ɑn	response
58	57	1	body	N-Bhi-Bhi	1	1	sʌɾi		N-Bhi-Bhi 1 sʌɾi	response
58	57	1	body	N-Dhar-Bhi	1	1	sʌɾir		N-Dhar-Bhi 1 sʌɾir	response
58	57	1	body	N-Khj-Bhi	2	1	bɑd̪ɑn		N-Khj-Bhi 2 bɑd̪ɑn	response
58	57	1	body	N-Mah-Bhi	1	1	sʌɾiɾ		N-Mah-Bhi 1 sʌɾiɾ	response
58	57	1	body	N-Rup-Br	1	1	sʌɾi		N-Rup-Br 1 sʌɾi	response
58	57	1	body	N-Khr-Gen	2	1	bɑd̪ɑn		N-Khr-Gen 2 bɑd̪ɑn	response
58	57	1	body	N-Awl-Bal	1	1	sʌɾiɾ		N-Awl-Bal 1 sʌɾiɾ	response
58	57	1	body	N-Sir-OBC	1	1	sʌɾi		N-Sir-OBC 1 sʌɾi	response
58	57	1	body	N-Sir-OBC	4	2	tʃʌmədɔ		4 tʃʌmədɔ	response
58	57	1	body	N-Kup-Dar	1	1	sʌɾi		N-Kup-Dar 1 sʌɾi	response
58	57	1	body	Par Bhi	1	1	sʌɾir		Par Bhi 1 sʌɾir	response
58	57	1	body	Malvi	1	1	ʃəɾiɾ		Malvi 1 ʃəɾiɾ	response
58	57	1	body	Hindi	1	1	ʃəɾiɾ		Hindi 1 ʃəɾiɾ	response
58	57	1	body	Gujarati	1	1	ʃəɾiɾ		Gujarati 1 ʃəɾiɾ	response
58	57	1	body	Marathi	1	1	səɾiɾ		Marathi 1 səɾiɾ	response
58	57	1	body	Marathi	3	2	ʌŋg		3 ʌŋg	response
58	57	2	head	N-Son-Bal	3	1	mɑd̪ʱɔ		N-Son-Bal 3 mɑd̪ʱɔ	response
58	57	2	head	N-Son-Pat	1	1	sɪɾ		N-Son-Pat 1 sɪɾ	response
