Status,Reason,Proto_Burushaski_ID,Proto_Source_Key,CDIAL_ID,Claim_Source_Entry_ID,Legacy_Form_ID,Source_Key,Language_ID,Form,Gloss,Source,Prior_Relation,New_Relation,Comparison_IDs,Source_Group,CDIAL_Headword,Claim_Evidence,Review,Review_Note
converted,Burushaski--CDIAL claim moved from ancestry to comparison layer,pbsk-ia-14001-9c9fe77a2b88,proto-burushaski:indo-aryan:ia-14001-9c9fe77a2b88,14001,14001,45-3621,berger-entry-3723,Bur,hal del,"leap, jump",berger-auto[p. 97 (printed p. 187)],reflex,reflex,burushaski:ia-14001-9c9fe77a2b88:cdial:14001:b970d167d0,berger-auto,*hala,sh. hal; T 14001,ok,"Printed Turner ID, Berger page locator, form, gloss boundary, and preserved etymology text checked against the scan."
converted,Burushaski--CDIAL claim moved from ancestry to comparison layer,pbsk-ia-3315-31cb8bf5fefc,proto-burushaski:indo-aryan:ia-3315-31cb8bf5fefc,3315,3315,45-6997,berger-entry-7319,Bur,qumá,concubine,berger-auto[p. 177 (printed p. 346)],reflex,reflex,burushaski:ia-3315-31cb8bf5fefc:cdial:3315:180c1a3850,berger-auto,kumbhā,"ys. qumá, kho. kumā L; T 3315; 14398, oder tü. koma R II 667, kuma 1044",ok,"Printed Turner ID, Berger page locator, form, gloss boundary, and preserved etymology text checked against the scan."
converted,Burushaski--CDIAL claim moved from ancestry to comparison layer,pbsk-ia-11307-1a8a603932ea,proto-burushaski:indo-aryan:ia-11307-1a8a603932ea,11307,11307,45-1209,berger-entry-997,Bur,buyē̂ço,weaver,berger-auto[p. 36 (printed p. 66)],reflex,reflex,burushaski:ia-11307-1a8a603932ea:cdial:11307:8f15b7b3cd,berger-auto,*vayitraka,"sh. buyéēço, T 11307",ok,"Printed Turner ID, Berger page locator, form, gloss boundary, and preserved etymology text checked against the scan."
converted,Burushaski--CDIAL claim moved from ancestry to comparison layer,pbsk-ia-6908-fc4d42134d6d,proto-burushaski:indo-aryan:ia-6908-fc4d42134d6d,6908,6908,45-6127,berger-entry-6368,Bur,nō̌l,"weasel, mongoose (visits houses and is considered lucky)",berger-auto[p. 156 (printed p. 305)],reflex,reflex,burushaski:ia-6908-fc4d42134d6d:cdial:6908:e1187ce1aa,berger-auto,nakulá,T 6908,ok,"Printed Turner ID, Berger page locator, form, gloss boundary, and preserved etymology text checked against the scan."
converted,Burushaski--CDIAL claim moved from ancestry to comparison layer,pbsk-ia-4898-872f67be24e5,proto-burushaski:indo-aryan:ia-4898-872f67be24e5,4898,4898,45-1732,berger-entry-1602,Bur,ćus,(sucking breast milk); sucking on,berger-auto[p. 49 (printed p. 93)],reflex,reflex,burushaski:ia-4898-872f67be24e5:cdial:4898:3188546956,berger-auto,cū́ṣati,"ys. ćuś, sh. ćuś th-, ćug-, T 4898",ok,"Printed Turner ID, Berger page locator, form, gloss boundary, and preserved etymology text checked against the scan."
converted,Burushaski--CDIAL claim moved from ancestry to comparison layer,pbsk-ia-12708-ca6d13d445c9,proto-burushaski:indo-aryan:ia-12708-ca6d13d445c9,12708,12708,45-8071,berger:p395:c2:e008,Bur,śiridáko,"main post of the house, plays a role in rites",berger-auto[p. 201 (printed p. 395)],reflex,reflex,burushaski:ia-12708-ca6d13d445c9:cdial:12708:7c1f5c6e40,berger-auto,śrī́,"ys. śiríduṅ; skt. śri, T 12708 + ḍáko bzw. ys. duṅ ""Pfosten"", ti. gduṅ-ma",ok,"Printed Turner ID, Berger page locator, form, gloss boundary, and preserved etymology text checked against the scan."
converted,Burushaski--CDIAL claim moved from ancestry to comparison layer,pbsk-ia-6429-36e4bf0c0cef,proto-burushaski:indo-aryan:ia-6429-36e4bf0c0cef,6429,6429,45-4519,berger-entry-4654,Bur,jum,"steep (mountain, path), difficult to pass",berger-auto[p. 119 (printed p. 230)],reflex,reflex,burushaski:ia-6429-36e4bf0c0cef:cdial:6429:7a318eb7f0,berger-auto,durgá,"sh. juṅ ""Bergschlucht"", T 6429",ok,"Printed Turner ID, Berger page locator, form, gloss boundary, and preserved etymology text checked against the scan."
converted,Burushaski--CDIAL claim moved from ancestry to comparison layer,pbsk-ia-3364-3959db979fcf,proto-burushaski:indo-aryan:ia-3364-3959db979fcf,3364,14401,45-5086,berger-entry-5209,Bur,kʰō̂śo,"with crippled hands or feet, NH with only one hand; ng. also: with a bent horn",berger-auto[p. 132 (printed p. 256)],reflex,reflex,burushaski:ia-3364-3959db979fcf:cdial:3364:29177ba2ad,berger-auto,kuśa,"ys. khuś, DC khúśi, sh. khúśo, T 14401",ok,"Printed Turner ID, Berger page locator, form, gloss boundary, and preserved etymology text checked against the scan."
converted,Burushaski--CDIAL claim moved from ancestry to comparison layer,pbsk-ia-10221-3114b67b3337,proto-burushaski:indo-aryan:ia-10221-3114b67b3337,10221,10221,45-5852,berger-entry-6054:dialect:2,Bur,muṣṭí,fist; handful,berger-auto[p. 150 (printed p. 292)],variant,variant,burushaski:ia-10221-3114b67b3337:cdial:10221:d1ffe74c7e,berger-auto,muṣṭí,"ys. -muṣṭ, vgl. ng. muṣṭí unter ²múçi; sh. . mut; T 10221",ok,"Printed Turner ID, Berger page locator, form, gloss boundary, and preserved etymology text checked against the scan."
converted,Burushaski--CDIAL claim moved from ancestry to comparison layer,pbsk-ia-3895-465864fad42d,proto-burushaski:indo-aryan:ia-3895-465864fad42d,3895,3895,45-5120,berger-entry-5243,Bur,kʰut,short,berger-auto[p. 132 (printed p. 257)],reflex,reflex,burushaski:ia-3895-465864fad42d:cdial:3895:c951c9bf1e,berger-auto,*khuṭṭa,sh. khúṭo; T 3895,ok,"Printed Turner ID, Berger page locator, form, gloss boundary, and preserved etymology text checked against the scan."
converted,Burushaski--CDIAL claim moved from ancestry to comparison layer,pbsk-ia-1221-c6b5d3b24235,proto-burushaski:indo-aryan:ia-1221-c6b5d3b24235,1221,1221,20-19,berger-entry-329,Bur,avā̌ji,"necessary, necessary",berger[p. 24],reflex,reflex,burushaski:ia-1221-c6b5d3b24235:cdial:1221:53661a32f2,berger,"ābadhyatē,",Hand-entered Berger row links directly to Turner/CDIAL 1221.,ok,"Legacy hand-entered form, gloss, and exact Turner target checked; no unsupported direction retained."
