line_id	item	gloss	group	site_codes	status	confidence	form	visible_base	note
P056-L014	291	where	1	A	attested	high	ɛksɛn		
P056-L015	291	where	1	BC	attested	high	ɛksan		
P056-L016	291	where	1	DE	attested	high	ɛʃan		
P056-L017	291	where	2	0	attested	high	kotʰai̯		
P056-L018	292	who	1	BCDE	attested	high	nɛ		
P056-L019	292	who	2	0	attested	high	kɛ		
P056-L020	292	who	3	A	attested	high	is		
P056-L021	293	what	1	BCDE	attested	high	ɛndra		
P056-L022	293	what	2	0	attested	high	ki		
P056-L023	293	what	3	A	attested	high	nekɛⁱ		
P056-L024	294	how many	0	A	blank	high			Printed “no entry”.
P056-L025	294	how many	1	BCD	attested	high	ɛta		
P056-L026	294	how many	2	E	attested	high	kai̯tari		
P056-L027	294	how many	3	0	attested	high	kɔi̯ta		
P056-L028	295	this thing	1	ABCDE	attested	high	id		
P056-L029	295	this thing	2	0	attested	high	ɛta		
P056-L030	296	that thing	1	ABCDE	attested	high	ad		
P056-L031	296	that thing	2	0	attested	high	oʈa		
P056-L032	297	these things	1	BC	attested	high	ibra		
P056-L033	297	these things	1	D	attested	high	ibrɛ		
P056-L034	297	these things	1	E	attested	high	ibrɛ		
P056-L035	297	these things	2	0	attested	high	ɛgulo		
P056-L036	297	these things	3	A	attested	high	ondrɛ		
P056-L037	298	those things	1	BCDE	attested	high	abra		
P056-L038	298	those things	2	0	attested	high	ogulo		
P056-L039	298	those things	3	A	attested	high	udɛndrɛ		
P056-L040	299	1s	1	ABCDE	attested	high	ɛn		
P056-L041	299	1s	2	0	attested	high	ami		
P056-L042	300	2s (familiar)	1	ABCDE	attested	high	nin		
P056-L043	300	2s (familiar)	2	0	attested	high	tumi		
