Item	Gloss	Source_Code	Source_Label	Site_Name	Role	Response	Similarity_Group	Form	PDF_Page	Printed_Page
1	body	K	Jaunsari-Korwa	Korwa	target	1	1	çʌɾiɾ	40	40
1	body	D	Jaunsari-Khanaad	Khanaad	target	1	1	çʌɾiɾ	40	40
1	body	C	Jaunsari-Chapnu	Chapnu	target	1	1	çʌɾiɾ	40	40
1	body	B	Jaunsari-Bhandroli	Bhandroli	target	1	1	çʌɾiɾ	40	40
1	body	M	MixedJB-Maindrath	Maindrath	target	1	1	çʌɾiɾ	40	40
1	body	L	Jr-Glmix-Lakhamandal	Lakhamandal	target	1	1	çʌɾiɾ	40	40
1	body	A	Jaunsari-Chakratha	Chakrata	target	1	1	ʃeɾiɾ	40	40
1	body	h	Hindi	Hindi	comparison control	1	1	ʃeɾiɾ	40	40
1	body	h	Hindi	Hindi	comparison control	2	1	ʃʌɾiɾ	40	40
1	body	S	Bangani	Bangani	comparison control	1	1	ʃərir	40	40
1	body	J	Jaunpuri	Jaunpuri	comparison control	1	1	səɾiɾ	40	40
1	body	N	Nagpuriya	Nagpuriya	comparison control	1	1	səɾiɾ	40	40
1	body	G	Sirmauri	Sirmauri	comparison control	1	1	ʃəɾiɾ	40	40
2	head	K	Jaunsari-Korwa	Korwa	target	1	2	munɖ	40	40
2	head	D	Jaunsari-Khanaad	Khanaad	target	1	2	munɖ	40	40
2	head	C	Jaunsari-Chapnu	Chapnu	target	1	2	munɖi	40	40
2	head	B	Jaunsari-Bhandroli	Bhandroli	target	1	2	muːnɖ	40	40
2	head	M	MixedJB-Maindrath	Maindrath	target	1	2	munɖ	40	40
2	head	L	Jr-Glmix-Lakhamandal	Lakhamandal	target	1	2	munɖ	40	40
2	head	A	Jaunsari-Chakratha	Chakrata	target	1	2	munɖi	40	40
2	head	h	Hindi	Hindi	comparison control	1	1	sɪɾ	40	40
2	head	S	Bangani	Bangani	comparison control	1	3	mʊɾt̪ka	40	40
2	head	J	Jaunpuri	Jaunpuri	comparison control	1	2	muɳɖ	40	40
2	head	N	Nagpuriya	Nagpuriya	comparison control	1	2	muɳɖ	40	40
2	head	G	Sirmauri	Sirmauri	comparison control	1	2	mũɖ	40	40
3	hair	K	Jaunsari-Korwa	Korwa	target	1	1	bal	40	40
3	hair	D	Jaunsari-Khanaad	Khanaad	target	1	1	bal	40	40
3	hair	C	Jaunsari-Chapnu	Chapnu	target	1	2	baw	40	40
3	hair	B	Jaunsari-Bhandroli	Bhandroli	target	1	3	muːnɖou	40	40
3	hair	M	MixedJB-Maindrath	Maindrath	target	1	1	bal	40	40
3	hair	L	Jr-Glmix-Lakhamandal	Lakhamandal	target	1	1	bal	40	40
3	hair	A	Jaunsari-Chakratha	Chakrata	target	1	3	muɳɖ	40	40
3	hair	h	Hindi	Hindi	comparison control	1	1	bal	40	40
3	hair	S	Bangani	Bangani	comparison control	1	1	bal	40	40
3	hair	J	Jaunpuri	Jaunpuri	comparison control	1	1	bal	40	40
3	hair	N	Nagpuriya	Nagpuriya	comparison control	1	1	bal	40	40
3	hair	G	Sirmauri	Sirmauri	comparison control	1	1	bal	40	40
4	face	K	Jaunsari-Korwa	Korwa	target	1	1	mu	40	40
4	face	D	Jaunsari-Khanaad	Khanaad	target	1	3	tʃehəɾɐ	40	40
4	face	C	Jaunsari-Chapnu	Chapnu	target	1	1	mu	40	40
4	face	B	Jaunsari-Bhandroli	Bhandroli	target	1	1	mu	40	40
4	face	M	MixedJB-Maindrath	Maindrath	target	1	1	mu	40	40
4	face	L	Jr-Glmix-Lakhamandal	Lakhamandal	target	1	2	mukh	40	40
4	face	A	Jaunsari-Chakratha	Chakrata	target	1	1	mũh	40	40
4	face	h	Hindi	Hindi	comparison control	1	1	mũh	40	40
4	face	h	Hindi	Hindi	comparison control	2	3	tʃehəɾɐ	40	40
4	face	S	Bangani	Bangani	comparison control	1	1	mũh	40	40
4	face	J	Jaunpuri	Jaunpuri	comparison control	1	2	mʊkh	40	40
4	face	N	Nagpuriya	Nagpuriya	comparison control	1	2	mʊkhʋ	40	40
4	face	G	Sirmauri	Sirmauri	comparison control	1	4	ʃəkəl	40	40
5	eye	K	Jaunsari-Korwa	Korwa	target	1	1	akh	40	40
5	eye	D	Jaunsari-Khanaad	Khanaad	target	1	1	akh	40	40
5	eye	C	Jaunsari-Chapnu	Chapnu	target	1	1	akh	40	40
5	eye	B	Jaunsari-Bhandroli	Bhandroli	target	1	1	akh	40	40
5	eye	M	MixedJB-Maindrath	Maindrath	target	1	1	akhɐ	40	40
5	eye	L	Jr-Glmix-Lakhamandal	Lakhamandal	target	1	1	akh	40	40
5	eye	A	Jaunsari-Chakratha	Chakrata	target	1	1	akhə	40	40
5	eye	h	Hindi	Hindi	comparison control	1	1	ãkh	40	40
5	eye	S	Bangani	Bangani	comparison control	1	1	ãŋkh	40	40
5	eye	J	Jaunpuri	Jaunpuri	comparison control	1	1	akhu	40	40
5	eye	N	Nagpuriya	Nagpuriya	comparison control	1	1	akhɐ	40	40
5	eye	G	Sirmauri	Sirmauri	comparison control	1	1	ãkh	40	40
6	ear	K	Jaunsari-Korwa	Korwa	target	1	1	kan	40	40
6	ear	D	Jaunsari-Khanaad	Khanaad	target	1	1	kan	40	40
6	ear	C	Jaunsari-Chapnu	Chapnu	target	1	1	kan	40	40
6	ear	B	Jaunsari-Bhandroli	Bhandroli	target	1	1	kan	40	40
6	ear	M	MixedJB-Maindrath	Maindrath	target	1	1	kan	40	40
6	ear	L	Jr-Glmix-Lakhamandal	Lakhamandal	target	1	1	kan	40	40
6	ear	A	Jaunsari-Chakratha	Chakrata	target	1	1	kan	40	40
6	ear	h	Hindi	Hindi	comparison control	1	1	kan	40	40
6	ear	S	Bangani	Bangani	comparison control	1	1	kan	41	41
6	ear	J	Jaunpuri	Jaunpuri	comparison control	1	1	kanuɾ	41	41
6	ear	N	Nagpuriya	Nagpuriya	comparison control	1	1	kanoɽ	41	41
6	ear	G	Sirmauri	Sirmauri	comparison control	1	1	kan	41	41
7	nose	K	Jaunsari-Korwa	Korwa	target	1	1	nak	41	41
7	nose	D	Jaunsari-Khanaad	Khanaad	target	1	1	nak	41	41
7	nose	C	Jaunsari-Chapnu	Chapnu	target	1	1	nak	41	41
7	nose	B	Jaunsari-Bhandroli	Bhandroli	target	1	1	nak	41	41
7	nose	M	MixedJB-Maindrath	Maindrath	target	1	1	nak	41	41
7	nose	L	Jr-Glmix-Lakhamandal	Lakhamandal	target	1	1	nak	41	41
7	nose	A	Jaunsari-Chakratha	Chakrata	target	1	1	nak	41	41
7	nose	h	Hindi	Hindi	comparison control	1	1	nak	41	41
7	nose	S	Bangani	Bangani	comparison control	1	1	nak	41	41
7	nose	J	Jaunpuri	Jaunpuri	comparison control	1	1	nak	41	41
7	nose	N	Nagpuriya	Nagpuriya	comparison control	1	1	nak	41	41
7	nose	G	Sirmauri	Sirmauri	comparison control	1	1	nak	41	41
8	mouth	K	Jaunsari-Korwa	Korwa	target	1	2	kha	41	41
8	mouth	D	Jaunsari-Khanaad	Khanaad	target	1	1	mũh	41	41
8	mouth	D	Jaunsari-Khanaad	Khanaad	target	2	2	khab	41	41
8	mouth	C	Jaunsari-Chapnu	Chapnu	target	1	1	muː	41	41
8	mouth	B	Jaunsari-Bhandroli	Bhandroli	target	1	2	khab	41	41
8	mouth	M	MixedJB-Maindrath	Maindrath	target	1	2	khab	41	41
8	mouth	L	Jr-Glmix-Lakhamandal	Lakhamandal	target	1	2	khab	41	41
8	mouth	A	Jaunsari-Chakratha	Chakrata	target	1	1	mũh	41	41
8	mouth	h	Hindi	Hindi	comparison control	1	1	mũh	41	41
8	mouth	S	Bangani	Bangani	comparison control	1	1	mũh	41	41
8	mouth	J	Jaunpuri	Jaunpuri	comparison control	1	3	gɪtʃu	41	41
8	mouth	N	Nagpuriya	Nagpuriya	comparison control	1	3	gitʃə	41	41
8	mouth	G	Sirmauri	Sirmauri	comparison control	1	4	dʒat	41	41
9	tooth	K	Jaunsari-Korwa	Korwa	target	1	1	d̪ant̪	41	41
9	tooth	D	Jaunsari-Khanaad	Khanaad	target	1	1	d̪ant̪	41	41
9	tooth	C	Jaunsari-Chapnu	Chapnu	target	1	1	d̪ant̪	41	41
9	tooth	B	Jaunsari-Bhandroli	Bhandroli	target	1	1	d̪ant̪	41	41
9	tooth	M	MixedJB-Maindrath	Maindrath	target	1	1	d̪ant̪	41	41
9	tooth	L	Jr-Glmix-Lakhamandal	Lakhamandal	target	1	1	d̪ant̪	41	41
9	tooth	A	Jaunsari-Chakratha	Chakrata	target	1	1	d̪ãnd̪	41	41
9	tooth	h	Hindi	Hindi	comparison control	1	1	d̪ɐ̃t̪	41	41
9	tooth	S	Bangani	Bangani	comparison control	1	1	d̪ãt̪	41	41
9	tooth	J	Jaunpuri	Jaunpuri	comparison control	1	1	d̪ãt̪	41	41
9	tooth	N	Nagpuriya	Nagpuriya	comparison control	1	1	d̪ãt̪	41	41
9	tooth	G	Sirmauri	Sirmauri	comparison control	1	1	dãnd	41	41
10	tongue	K	Jaunsari-Korwa	Korwa	target	1	1	dʒib	41	41
10	tongue	D	Jaunsari-Khanaad	Khanaad	target	1	1	dʒib	41	41
10	tongue	C	Jaunsari-Chapnu	Chapnu	target	1	1	dʒibɦ	41	41
10	tongue	B	Jaunsari-Bhandroli	Bhandroli	target	1	1	dʒib	41	41
10	tongue	M	MixedJB-Maindrath	Maindrath	target	1	1	dʒib	41	41
10	tongue	L	Jr-Glmix-Lakhamandal	Lakhamandal	target	1	1	dʒib	41	41
10	tongue	A	Jaunsari-Chakratha	Chakrata	target	1	1	dʒibɦ	41	41
10	tongue	h	Hindi	Hindi	comparison control	1	1	dʒibɦ	41	41
10	tongue	S	Bangani	Bangani	comparison control	1	1	dʒibɦ	41	41
10	tongue	J	Jaunpuri	Jaunpuri	comparison control	1	1	dʒibɦ	41	41
10	tongue	N	Nagpuriya	Nagpuriya	comparison control	1	1	dʒib	41	41
10	tongue	N	Nagpuriya	Nagpuriya	comparison control	2	1	dzibɽi	41	41
10	tongue	G	Sirmauri	Sirmauri	comparison control	1	1	dʒibɦ	41	41
12	belly	K	Jaunsari-Korwa	Korwa	target	1	2	gɦeɾ	41	41
12	belly	D	Jaunsari-Khanaad	Khanaad	target	1	2	gɦeɾ	41	41
12	belly	C	Jaunsari-Chapnu	Chapnu	target	1	2	gɦeɾ	41	41
12	belly	B	Jaunsari-Bhandroli	Bhandroli	target	1	1	pend̪	41	41
12	belly	M	MixedJB-Maindrath	Maindrath	target	1	1	peɳɖ	41	41
12	belly	L	Jr-Glmix-Lakhamandal	Lakhamandal	target	1	1	peʈ	41	41
