Snapshot_Date,Unit_ID,Region,PDF_Page,Printed_Page,Locator,Raw_Form,Raw_Gloss,Raw_Context,Status,Reason,Final_Form,Final_Gloss,Final_Phonemic,Final_Tags,Emitted_Key,Merged_Into,Source,Record_SHA256
2026-08-25,ex63b:6,interlinear,58,54,"p. 54, example 63b, MI06b-219",soo,3sg.nom,example=63b; reference=MI06b-219; translation=The rice that I ate was not cooked well.,installed,read from the PDF text layer and installed unchanged,soo,"he, she, it",,3sg nom pron personal,hultman2023kalkoti:ex63b:6,hultman2023kalkoti:ex15:1,"hultman2023kalkoti[p. 54, example 63b, MI06b-219]",00245251f7df1f18b5011767fbec3d4d2f33d8b61ccb6882e3a731d43f5b8385
2026-08-25,ex65:1,interlinear,58,54,"p. 54, example 65, MJ06a-55",heedär=ä,Haider=erg,example=65; reference=MJ06a-55; translation=Haider saw Aslam write the letter.,installed,read from the PDF text layer and installed unchanged,heedär,Haider,,proper-noun,hultman2023kalkoti:ex65:1,hultman2023kalkoti:ex36a:1,"hultman2023kalkoti[p. 54, example 65, MJ06a-55]",002ef4c1c97bf1f02a189d1ffb4e89056b4b01c670908f7b5cfcc68bc2a321e8
2026-08-25,ex49b:1,interlinear,53,49,"p. 49, example 49b, JK15d-35",pée,girl,example=49b; reference=JK15d-35; translation=The girls showed pictures to the teacher.,installed,read from the PDF text layer and installed unchanged,pée,girl,,,hultman2023kalkoti:ex49b:1,hultman2023kalkoti:t12:4:sg,"hultman2023kalkoti[p. 49, example 49b, JK15d-35]",00555c95fdd119ffda8bf926d1b21f8a2095c1fe3aac3937c9bd35146fc994da
2026-08-25,t25:5:ipfv,t25,48,44,"p. 44, table 25",päšuun,see,column=ipfv,installed,read from the PDF text layer and installed unchanged,päšuun,see,,verb ipfv,hultman2023kalkoti:t25:5:ipfv,,"hultman2023kalkoti[p. 44, table 25]",0056486b21b45fe4403c70ff71cbd1b92a2b3e5bf77fb3b19319f87f7c86eaf2
2026-08-25,ex9a:2,interlinear,28,24,"p. 24, example 9a, MJ06a-101",ä,one,example=9a; reference=MJ06a-101; translation=She had one daughter.,installed,read from the PDF text layer and installed unchanged,ä,one,,,hultman2023kalkoti:ex9a:2,,"hultman2023kalkoti[p. 24, example 9a, MJ06a-101]",00a441a800cd475f29d43cd22b772a81a0f9a42ca4dac3575911ae13be4cf06b
2026-08-25,ex52a:5,interlinear,54,50,"p. 50, example 52a, MJ06a-131",aas,cop.pst,example=52a; reference=MJ06a-131; translation=There were two windows in this room.,installed,read from the PDF text layer and installed unchanged,aas,"was, were",,copula pret verb,hultman2023kalkoti:ex52a:5,hultman2023kalkoti:t28:affirmative:past,"hultman2023kalkoti[p. 50, example 52a, MJ06a-131]",00cfc1f2c7ce9660fee2468fd0bdcd995f4ed74a6104b4aaaeb74df8ca52f55b
2026-08-25,ex44a:3,interlinear,51,47,"p. 47, example 44a, MJ06a-32",agä,rain?,example=44a; reference=MJ06a-32; translation=Yesterday it rained a lot.,installed,read from the PDF text layer and installed unchanged,agä,rain,,uncertain,hultman2023kalkoti:ex44a:3,,"hultman2023kalkoti[p. 47, example 44a, MJ06a-32]",00d3c692b14ed1f62574b0e6eb98caad5fe687975309171b0920e225124c4230
2026-08-25,t11:1:oblique:pl,t11,25,21,"p. 21, table 11",míšaal-úm,man,case=oblique; number=pl,installed,read from the PDF text layer and installed unchanged,míšaalúm,man,,noun pl obl,hultman2023kalkoti:t11:1:oblique:pl,,"hultman2023kalkoti[p. 21, table 11]",0128639bd74dc19c3bba907a7a9ab304f04ca392b0b20c51fa5cff3ecb84b4b6
2026-08-25,t16:29,t16,32,28,"p. 28, table 16",num-tée-bíiš,29,value=29,installed,read from the PDF text layer and installed unchanged,numtéebíiš,twenty-nine,,num compound,hultman2023kalkoti:t16:29,,"hultman2023kalkoti[p. 28, table 16]",015c64eb929f41b407b8d808f7acaa14fd1b20bc732eb4cda0d33d7c001448bd
2026-08-25,ex23a:4,interlinear,36,32,"p. 32, example 23a, JK15d-36",dit,give.pfv,example=23a; reference=JK15d-36; translation=We gave the books to the children.,installed,read from the PDF text layer and installed unchanged,dit,give,,pfv verb,hultman2023kalkoti:ex23a:4,hultman2023kalkoti:t21:4:pfv,"hultman2023kalkoti[p. 32, example 23a, JK15d-36]",017be350eca3eb32a31335a24844e129a3ec1ac03dddc15515cfafbfdeb3148e
2026-08-25,ex10b:3,interlinear,29,25,"p. 25, example 10b, MJ06a-146",un,this,example=10b; reference=MJ06a-146; translation=My friends saw this film.,installed,read from the PDF text layer and installed unchanged,un,this,,,hultman2023kalkoti:ex10b:3,hultman2023kalkoti:ex6a:3,"hultman2023kalkoti[p. 25, example 10b, MJ06a-146]",02751dc238dadbf1a554442574749e102f15cd9d7fc5479ce032a1a9d102a642
2026-08-25,ex37b:2,interlinear,47,43,"p. 43, example 37b, JK15d-38",sunduu,box?,example=37b; reference=JK15d-38; translation=The men carried the boxes to the market.,installed,read from the PDF text layer and installed unchanged,sunduu,box,,uncertain,hultman2023kalkoti:ex37b:2,,"hultman2023kalkoti[p. 43, example 37b, JK15d-38]",02b0a72975db87fc72b8ae4c2143c9d2c7a4da1ea56c0752776e2260c19e7de9
2026-08-25,t16:50,t16,32,28,"p. 28, table 16",diš-tée-dubíiš,50,value=50,installed,read from the PDF text layer and installed unchanged,dištéedubíiš,fifty,,num compound,hultman2023kalkoti:t16:50,,"hultman2023kalkoti[p. 28, table 16]",02dad197c22a91c27dc113155cd97168a4de09308d3b37f24d0b131429c28f3e
2026-08-25,t14:1sg:ergative,t14,30,26,"p. 26, table 14",mi,,case=ergative; person=1sg,installed,read from the PDF text layer and installed unchanged,mi,I,,pron personal 1sg erg,hultman2023kalkoti:t14:1sg:ergative,,"hultman2023kalkoti[p. 26, table 14]",02f706ae68323ea668f7aef285c6a79a2f074f49a5acf93c497c4a22485924c6
